scenario_id,commodity,raw_value,raw_unit,multiplier,formal_value,formal_unit,rounding_status,rationale,provenance_identity
omega_38,Crackers,3315.0,1000 meals,14000.0,46410000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_39,Water,11900.0,1000 gallons,1000.0,11900000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_39,Seasonal Influenza Vaccine,29694.0,abstract medical unit,10.0603621730382,298732.394366197,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_39,Crackers,5692.0,1000 meals,14000.0,79688000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_40,Water,5000.0,1000 gallons,1000.0,5000000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_40,Seasonal Influenza Vaccine,28727.0,abstract medical unit,10.0603621730382,289004.024144869,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_40,Crackers,4245.0,1000 meals,14000.0,59430000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_41,Water,7218.0,1000 gallons,1000.0,7218000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_41,Seasonal Influenza Vaccine,28578.0,abstract medical unit,10.0603621730382,287505.030181087,dose,none_exact_float_expression,economic_scale_preserving_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_41,Crackers,4001.0,1000 meals,14000.0,56014000.0,22 g serving,none_exact_float_expression,approximate_energy_service_normalization,R6_FINAL_FORMAL_DESIGN_2026_08_31
omega_42,Water,6639.0,1000 gallons,1000.0,6639000.0,gallon,none_exact_float_expression,physical_unit_conversion,R6_FINAL_FORMAL_DESIGN_2026_08_31
