replicate_id,transition,A0_growth,A1_growth,A0_over_A1_growth_ratio
E5C-R02,6_to_9,1.3092618917825083,1.292293122755821,1.013130743116934
E5C-R03,6_to_9,1.3009144118532303,1.2820413655806355,1.014721089958004
E5C-R04,6_to_9,1.310933954109171,1.3024432268768582,1.0065190766530936
E5C-R05,6_to_9,1.3098647806007544,1.293403933954961,1.0127267640167597
E5C-R06,6_to_9,1.3189475626626144,1.292828840948615,1.020202768446003
E5C-R07,6_to_9,1.3083810826183153,1.2945554303682771,1.010679845702787
E5C-R08,6_to_9,1.331270474246657,1.3015675753197407,1.0228208657699693
E5C-R09,6_to_9,1.3026384810264935,1.3014922657628243,1.0008806931042324
E5C-R10,6_to_9,1.3339769802002206,1.3038854726126483,1.0230783364180573
E5C-R11,6_to_9,1.308627390382826,1.294682166394491,1.0107711563118
E5C-R12,6_to_9,1.3134734451573973,1.2814153534445476,1.0250177209338682
E5C-R13,6_to_9,1.318110153099289,1.293701992047808,1.0188669115464877
E5C-R14,6_to_9,1.3071683544164474,1.311187997194475,0.9969343505381162
E5C-R15,6_to_9,1.314581421441513,1.2960431454451233,1.0143037491163327
E5C-R16,6_to_9,1.3101227427960593,1.3073235511501675,1.0021411621043843
E5C-R17,6_to_9,1.312645608410551,1.3100258740025856,1.0019997577604793
E5C-R18,6_to_9,1.3201650788641361,1.3095683922998107,1.0080917397110631
E5C-R19,6_to_9,1.314562300513567,1.3131172403031095,1.0011004807233541
E5C-R20,6_to_9,1.3129690097214544,1.3015469107473678,1.0087757873955752
E5C-R21,6_to_9,1.3354211843652375,1.3086643848161852,1.0204458834973267
E5C-R22,6_to_9,1.321172292766543,1.2915330162972831,1.0229489111739731
E5C-R23,6_to_9,1.3061706986346622,1.2972246949136175,1.0068962638131402
E5C-R24,6_to_9,1.3103095145693582,1.294912097925403,1.011890704140168
E5C-R25,6_to_9,1.3042927198932246,1.300686237434294,1.0027727536089293
E5C-R26,6_to_9,1.3146773678132682,1.2938664503230128,1.0160842855806795
E5C-R27,6_to_9,1.3112018359331161,1.2922564794065154,1.0146606783007206
E5C-R28,6_to_9,1.3142571731156478,1.2935558208032794,1.0160034472261996
E5C-R29,6_to_9,1.3025433782704428,1.2921940339786933,1.0080091255799128
E5C-R30,6_to_9,1.3217345358059933,1.297708017795409,1.0185145793052903
E5C-R01,3_to_9,2.0151495577534675,1.9529362523573535,1.0318562909163151
E5C-R02,3_to_9,1.9816549631620732,1.941915527293393,1.020464039403438
E5C-R03,3_to_9,1.952925603089848,1.8933014339899632,1.0314921691968681
E5C-R04,3_to_9,1.9923271818502388,1.934087974464833,1.0301119743022655
E5C-R05,3_to_9,1.9919852442114374,1.9182961527477609,1.0384138243503875
E5C-R06,3_to_9,1.9744728648338847,1.911822646161218,1.0327698904490243
E5C-R07,3_to_9,2.0028307960073204,1.9521185298267332,1.0259780671131113
E5C-R08,3_to_9,2.0149205818060127,1.9199456522688019,1.0494675093667256
E5C-R09,3_to_9,2.0000647054189455,1.9152522397569076,1.0442826609996825
E5C-R10,3_to_9,2.005579968119236,1.923248554032293,1.0428085147467427
E5C-R11,3_to_9,1.9791344043146546,1.9278781638571818,1.0265868670636957
E5C-R12,3_to_9,1.9863210026201596,1.917112910248275,1.0361001649938928
E5C-R13,3_to_9,2.005076347799722,1.9415693266886975,1.032709118463122
E5C-R14,3_to_9,2.008860913180009,1.9370872593252544,1.0370523596751937
E5C-R15,3_to_9,2.003836146382874,1.9136581018606955,1.0471233834479086
E5C-R16,3_to_9,2.009530889047078,1.9209036120662784,1.046138325954557
E5C-R17,3_to_9,1.986965928843395,1.945471189276471,1.0213288892663357
E5C-R18,3_to_9,2.0017206343729836,1.971112273834474,1.015528471383807
E5C-R19,3_to_9,1.9585826496068166,1.93289705106302,1.0132886531797805
E5C-R20,3_to_9,1.9925349191096626,1.9193198691161342,1.0381463513047695
E5C-R21,3_to_9,2.016799279472621,1.9187919765337313,1.051077607232827
E5C-R22,3_to_9,1.9950931205784421,1.9165899436588862,1.0409598188591602
E5C-R23,3_to_9,1.9780628333229846,1.910746666897286,1.0352302937861502
E5C-R24,3_to_9,1.9879246509170954,1.9377586847540804,1.0258886550516901
E5C-R25,3_to_9,1.988956747847188,1.9399002901335973,1.0252881336031
E5C-R26,3_to_9,1.9919055995929686,1.910722118241645,1.0424883768164224
E5C-R27,3_to_9,1.9823757866113636,1.9466875659249157,1.0183327932592467
E5C-R28,3_to_9,1.9988172126915564,1.9434421036422984,1.0284933155175948
E5C-R29,3_to_9,1.9748194772580492,1.9276478619699802,1.024471074939933
E5C-R30,3_to_9,1.9896970715868718,1.9212605250105907,1.0356206488840984
