chn_evidence_id,paper_country_code,affected_country,affected_country_code,chn_site_code,chn_site_name,event_date,storm_name,wind_mph,chn_original_category,closest_point_of_approach_miles,hurdat_storm_id,match_status,candidate_hurdat_ids,hurdat_original_category,category_conflict_flag,adopted_category,adoption_rule,source_dataset,source_reference,source_locator,source_url,source_sha256,proximity_rule,provenance_class
CHN-TAPA-19600904-040,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1960-09-04,DONNA,127,H3,37,AL051960,CONFIRMED_EXACT_NAME_DATE,AL051960,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:40,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19621001-041,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1962-10-01,DAISY,40,TS,60,AL041962,CONFIRMED_EXACT_NAME_DATE,AL041962,H2,YES,H2,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:41,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19631027-042,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1963-10-27,HELENA,52,TS,7,AL091963,CONFIRMED_EXACT_NAME_DATE,AL091963,TS_OR_LOWER,NO,TS_OR_LOWER,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:42,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19650829-043,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1965-08-29,BETSY,40,TS,41,AL031965,CONFIRMED_EXACT_NAME_DATE,AL031965,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:43,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19660826-044,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1966-08-26,FAITH,98,H2,63,AL061966,CONFIRMED_EXACT_NAME_DATE,AL061966,H3,YES,H3,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:44,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19660927-045,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1966-09-27,INEZ,127,H3,63,AL091966,CONFIRMED_EXACT_NAME_DATE,AL091966,H5,YES,H5,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:45,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19790717-046,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1979-07-17,CLAUDETTE,46,TS,58,AL061979,CONFIRMED_EXACT_NAME_DATE,AL061979,TS_OR_LOWER,NO,TS_OR_LOWER,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:46,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19790903-047,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1979-09-03,FREDERIC,63,TS,24,AL111979,CONFIRMED_EXACT_NAME_DATE,AL111979,H4,YES,H4,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:47,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19890917-048,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1989-09-17,HUGO,144,H4,45,AL111989,CONFIRMED_EXACT_NAME_DATE,AL111989,H5,YES,H5,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:48,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
CHN-TAPA-19901005-049,ATG,Antigua and Barbuda,ATG,TAPA,Antigua,1990-10-05,KLAUS,81,H1,32,AL131990,CONFIRMED_EXACT_NAME_DATE,AL131990,H1,NO,H1,HURDAT category adopted when HURDAT and CHN differ,CARIBBEAN_HURRICANE_NETWORK,CHN_CURRENT_TAPA_ALL_ISL,TAPA_all_isl.htm:storm_row:49,https://www.stormcarib.com/climatology/TAPA_all_isl.htm,2fac749dab5eb060ba02eae7f2b88cb001a06646846281acad90535e3bf73cf2,named tropical system passing within 60 nautical miles of CHN location,DIRECT
