scope,reliability_level,metric,N,mean,median,Q10,Q25,Q50,Q75,Q90,min,max
Vaccine,R2,eta_2,18,0.7654855056969466,0.7818066255111173,0.6200794903381381,0.7093470382444996,0.7818066255111173,0.8456825188566477,0.8784244307061606,0.6016871253182374,0.8992834895917758
Vaccine,R2,c_R1_ratio,18,0.15741868134882658,0.13920831273251155,0.06430134446179184,0.12216363008932841,0.13920831273251155,0.21161839061599752,0.25482239702017717,0.05802352798444822,0.2948630747742453
Vaccine,R2,c_R2_ratio,18,0.2680588352305607,0.2468124163321936,0.17766176701971434,0.19462224088124308,0.2468124163321936,0.3466101995981087,0.38456815184706267,0.15018554757599004,0.39875178554561996
Vaccine,R2,incremental_reliability_gain,18,0.48826774723698474,0.4433741630269292,0.3122958654350635,0.3791465519918642,0.4433741630269292,0.5961379876780737,0.7040072226937282,0.2294347914929974,0.8302729074035213
Vaccine,R2,incremental_reliability_cost_ratio,18,0.1106401538817341,0.10354445512016464,0.05951007604830029,0.07543049299106458,0.10354445512016464,0.11889777678591623,0.18743588278984252,0.053675345125170665,0.2100694016911055
Vaccine,R2,phi,18,0.33181168721231663,0.34606494048630376,0.1850928982691921,0.2577578991842366,0.34606494048630376,0.41603405554722456,0.4526459491447554,0.1655676063338428,0.47921176572564084
Vaccine,R2,psi,18,0.9656957764469252,1.0008636503672692,0.6711203765477881,0.7232237865414269,1.0008636503672692,1.1983956998434249,1.2568231429875678,0.5150674183953297,1.407202961486044
Vaccine,R2,rho_F_severity_score,18,0.4113925219258886,0.4143777368538213,0.3617843583630703,0.3852754013384851,0.4143777368538213,0.44413808767163543,0.4733769365884527,0.3066494777275164,0.48357530200955656
Vaccine,R2,F_quantity,18,775921.7556890572,825852.5535940456,294131.69393566943,546258.173331284,825852.5535940456,1063090.1102810956,1198051.5382569977,129772.10644172931,1344175.0078232596
Vaccine,R2,F_exposure,18,317251.3946770035,329141.2535734383,123679.46166312239,186449.81484712573,329141.2535734383,445949.35988904,488696.28605399915,52680.140832464276,573121.2705286769
Vaccine,R2,budget_usage,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Crackers,R0,A_R1,522,2.0910056203432563,1.5383825202705907,0.5440166740314081,0.9390732262273509,1.5383825202705907,2.4955173659024448,4.250445003604417,0.1718221664590044,13.315827790564212
Crackers,R0,A_R2,522,2.353253605099798,1.7549437468802442,0.6011800344510106,1.0525523873057825,1.7549437468802442,2.997979926955596,4.924356621620976,0.11973161282333747,13.455118360277103
Crackers,R0,eta_1,522,0.27152271092465036,0.2708538576246816,0.0970380677996657,0.15924269211862885,0.2708538576246816,0.3799722506017085,0.4479624386614592,0.05049156107330146,0.49876560341844445
Crackers,R0,eta_2,522,0.6433018566189295,0.6491365571292846,0.4493952857483592,0.5209876620477518,0.6491365571292846,0.7606427609434265,0.8414930001887659,0.400701622008558,0.8996915263714182
Crackers,R0,c_R1_ratio,522,0.17560048545512302,0.18073715958458136,0.0604580995386159,0.11090488178094024,0.18073715958458136,0.24224505568787771,0.27677879551448037,0.020611356015534925,0.29987725390973463
Crackers,R0,c_R2_ratio,522,0.39234911174968434,0.3946714617681054,0.21824280151807188,0.2907921958083502,0.3946714617681054,0.4976180133413395,0.5611754815612069,0.15151985334872117,0.5997322921903891
Crackers,R0,incremental_reliability_gain,522,0.37177914569427906,0.35819701143495963,0.13721485300129407,0.24174753939356827,0.35819701143495963,0.49694824235860025,0.6318297061380396,0.05077356376781195,0.8258424986856608
Crackers,R0,incremental_reliability_cost_ratio,522,0.21674862629456124,0.20701888422158404,0.0779822623592304,0.12095884217893052,0.20701888422158404,0.2963665772207992,0.37961873489096953,0.050041977607715143,0.5674917098381396
Crackers,R0,phi,522,0.21339373891830493,0.2024280735554752,0.043963690895349614,0.10396233040296628,0.2024280735554752,0.31092370356261884,0.39958251855803256,9.345790823462791e-05,0.49949101114727723
Crackers,R0,psi,522,0.9560388957576225,0.9317006982585143,0.5696245421628279,0.7017510843478174,0.9317006982585143,1.1931876546765348,1.3713100464606187,0.5014347464120259,1.4966679999279418
Crackers,R0,rho_F_severity_score,522,0.27078125067251163,0.26755510051389775,0.12393599421401552,0.1752636878239323,0.26755510051389775,0.36185252350630737,0.4200482052691191,0.09130681313861218,0.48060442995753216
Crackers,R0,F_quantity,522,220974706.52184877,202170428.82397068,76888157.74847181,128455065.63247478,202170428.82397068,279504586.95918,377377286.9593264,13402545.266035087,893509032.8667613
Crackers,R0,F_exposure,522,64828071.8444713,48783376.59329161,14471719.969314413,27657045.242117528,48783376.59329161,83048445.0974232,139194047.96419722,1368579.0199298798,397104464.10295993
Crackers,R0,budget_usage,522,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999996,1.0000000000000002
Crackers,R1,A_R1,32,7.61935958822814,6.652447077993735,2.7772215371410556,4.169321500269152,6.652447077993735,9.827564104436226,15.369195093492019,1.4887738034026101,21.141388269733604
Crackers,R1,A_R2,32,0.8804958620744666,0.8644611232971702,0.37806373936625753,0.5086447896367849,0.8644611232971702,1.2376229988240586,1.378860622079028,0.22637866890520836,2.113615810163626
Crackers,R1,eta_1,32,0.3849099414176057,0.40566176930335224,0.22802569840744286,0.3420176763704511,0.40566176930335224,0.4642691405028838,0.4812350635386988,0.18400355445540423,0.4836605947455422
Crackers,R1,eta_2,32,0.6178587777696807,0.592175187388993,0.4499105592338451,0.5272825438281674,0.592175187388993,0.7212235383814631,0.8004668368353721,0.40749176478199073,0.8898277612718386
Crackers,R1,c_R1_ratio,32,0.06834139856173677,0.060485545817116265,0.028986516971821388,0.04199137051613291,0.060485545817116265,0.08071135955168128,0.11121137206162438,0.0204971421944711,0.22866609873734264
Crackers,R1,c_R2_ratio,32,0.3644778757052224,0.35296243901092195,0.17773680363098995,0.22390356882175855,0.35296243901092195,0.520718309675496,0.5590562605521909,0.15418030187569037,0.5956905227542094
Crackers,R1,incremental_reliability_gain,32,0.23294883635207492,0.20567504256849223,0.08100316807103213,0.13550378676007774,0.20567504256849223,0.29220639091450296,0.39047367765716295,0.05389471805670126,0.5888228366162611
Crackers,R1,incremental_reliability_cost_ratio,32,0.2961364771434856,0.2584143934119047,0.11369284983543299,0.17235399804659085,0.2584143934119047,0.4430458738692414,0.5080264622923942,0.07281469452045515,0.5524237007318501
