simulation_id,sample_index,input_sha256,scientific_first_stage_sha256,commodity,c_Q,F_active_row,F_active_item,reliability_level,eta_1,eta_2,c_R1_ratio,c_R2_ratio,c_R1,c_R2,incremental_reliability_gain,incremental_reliability_cost_ratio,A_R1,A_R2,phi,psi,rho_F_severity_score,F_quantity,F_exposure,Q_quantity,budget_usage,policy_label,observation_sha256
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,Water,0.6477,False,False,NONE,0.49472324930885264,0.8877259339798702,0.2515172011323056,0.4866416737382142,0.16290769117339435,0.3151978120802414,0.39300268467101757,0.23512447260590863,1.9669559262016971,1.6714665228818104,0.4846061686839823,1.2384835472657294,0.17732448936674733,0.0,0.0,17745663.72808323,1.0,P1,a37db29abda78de543c30c5dfc664f0acaeeab9300342d12ee15018ca9cbeb78
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,Vaccine,13.916,False,False,NONE,0.49472324930885264,0.8877259339798702,0.2515172011323056,0.4866416737382142,3.5001133709571643,6.772105531740989,0.39300268467101757,0.23512447260590863,1.9669559262016971,1.6714665228818104,0.4846061686839823,1.2384835472657294,0.17732448936674733,0.0,0.0,530246.9102912714,1.0,P1,2a05ec1bc63580333c92c0b02a66eede2784bb6b48707ccbcae4ecc90510c1f3
LA-0009,9,3f9ef457cd3c688cef1bea2783ff0f7374d3b062b769b5658594d9d3df3f4303,3f9f526dc968af0b2b5a7a7f9a7aaf5fe6d56b7a3711ccbad40ff275ea3864d8,Crackers,0.09372,False,False,NONE,0.49472324930885264,0.8877259339798702,0.2515172011323056,0.4866416737382142,0.023572192090119678,0.045608057662745435,0.39300268467101757,0.23512447260590863,1.9669559262016971,1.6714665228818104,0.4846061686839823,1.2384835472657294,0.17732448936674733,0.0,0.0,0.0,1.0,P1,aae38b72b9fdd2c7238f754e854f97627a93b24d1e0d35c3d9eca8c7d5b59af8
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,Water,0.6477,True,True,R0,0.07013862371514837,0.7051026389519095,0.11115475322102901,0.2201827511105156,0.0719949336612605,0.14261236789428097,0.6349640152367612,0.1090279978894866,0.6309997699844568,5.82386201276828,0.2849293008488001,0.9280776180784069,0.17784193908645118,426298.26574119116,75813.7102086047,0.0,1.0,P4,ec7f88dd110d39267bb2a4aef73360e3c434bfdd0aca637cb091c18474efb7df
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,Vaccine,13.916,True,True,R0,0.07013862371514837,0.7051026389519095,0.11115475322102901,0.2201827511105156,1.5468295458238397,3.0640631644539353,0.6349640152367612,0.1090279978894866,0.6309997699844568,5.82386201276828,0.2849293008488001,0.9280776180784069,0.17784193908645118,1338265.7747305832,237999.78039111878,0.0,1.0,P4,6b092ad0e388f5f151b13a0b8c1fb0037f3ef778f7d12fd963fadfcba80d1a3c
LA-0010,10,06698b11d19baa7be4293ecf7d570cadf19ea3073caa2e34a72881399cc82472,6289df582dd6764f04667516fd5ca306d9d38285a309d8c1d00dea31b3bd2ff5,Crackers,0.09372,True,False,NONE,0.07013862371514837,0.7051026389519095,0.11115475322102901,0.2201827511105156,0.010417423471874838,0.02063552743407752,0.6349640152367612,0.1090279978894866,0.6309997699844568,5.82386201276828,0.2849293008488001,0.9280776180784069,0.17784193908645118,0.0,0.0,0.0,1.0,P4,374764aef9a3d74ccc9ad8aec527bae8a5533b0c053f46909a1b19feb049eb82
LA-0011,11,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,08421331dc7ac34cddf604d8e31aa8d424fde79779bb4a83cbb86cb3952185d3,Water,0.6477,True,False,NONE,0.42053191276692775,0.4967195310382331,0.05264211671777626,0.19662131433999433,0.03409629899810369,0.12735162529801433,0.07618761827130532,0.14397919762221806,7.98850690259045,0.5291571249842031,0.2581304227998119,1.0527252173738193,0.12921009621460797,0.0,0.0,13908895.91550978,1.0,P2,2159f24e38d2acc55bd22108894a8f316d4492a274fd6a814c2ee99bc4d3d2d5
LA-0011,11,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,08421331dc7ac34cddf604d8e31aa8d424fde79779bb4a83cbb86cb3952185d3,Vaccine,13.916,True,False,NONE,0.42053191276692775,0.4967195310382331,0.05264211671777626,0.19662131433999433,0.7325676962445744,2.736182210355361,0.07618761827130532,0.14397919762221806,7.98850690259045,0.5291571249842031,0.2581304227998119,1.0527252173738193,0.12921009621460797,0.0,0.0,0.0,1.0,P2,eecad671b9ae79957f957336afc2526da58fd1ca1f7eb3b2b2499419d957c33b
LA-0011,11,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,08421331dc7ac34cddf604d8e31aa8d424fde79779bb4a83cbb86cb3952185d3,Crackers,0.09372,True,True,R0,0.42053191276692775,0.4967195310382331,0.05264211671777626,0.19662131433999433,0.004933619178789991,0.01842734957994427,0.07618761827130532,0.14397919762221806,7.98850690259045,0.5291571249842031,0.2581304227998119,1.0527252173738193,0.12921009621460797,98865787.7174083,12774457.943299333,0.0,1.0,P2,d1b30e4216467c6c4a1776b2670134526b8bb6059384325688fe03d2eb8c462d
LA-0012,12,5c1441ad663de3d58521ae8885de5adade81efac16c906e57da0eb3982b22bde,de70e0fd605fce1dfe9d01baf3364b35e508c84137f501316848310e845e1cc4,Water,0.6477,True,True,R0,0.06956651412064462,0.41933328735312325,0.181706150661578,0.27946722095493637,0.11769107378350407,0.1810109190125123,0.3497667732324786,0.09776107029335837,0.38285172993516364,3.5777715217612633,0.005279285535647769,0.6566872404545655,0.13397358309526003,13035524.507019604,1746415.9257314894,0.0,0.9999999999999998,P4,97cbb9e0fb85db359d8db7368f9f3777f6ebc43304f99e5e8549dd5d2cb2e930
