OOS_exercise_cost_P90,OOS_exercise_cost_P95,OOS_exercise_cost_max,OOS_exercise_cost_mean,OOS_exercise_cost_median,OOS_exercise_cost_min,OOS_raw_total_shortage_P90,OOS_raw_total_shortage_P95,OOS_raw_total_shortage_max,OOS_raw_total_shortage_mean,OOS_raw_total_shortage_median,OOS_raw_total_shortage_min,OOS_service_level_cross_unit_descriptive_P90,OOS_service_level_cross_unit_descriptive_P95,OOS_service_level_cross_unit_descriptive_max,OOS_service_level_cross_unit_descriptive_mean,OOS_service_level_cross_unit_descriptive_median,OOS_service_level_cross_unit_descriptive_min,OOS_shortage_Crackers_P90,OOS_shortage_Crackers_P95,OOS_shortage_Crackers_max,OOS_shortage_Crackers_mean,OOS_shortage_Crackers_median,OOS_shortage_Crackers_min,OOS_shortage_Vaccine_P90,OOS_shortage_Vaccine_P95,OOS_shortage_Vaccine_max,OOS_shortage_Vaccine_mean,OOS_shortage_Vaccine_median,OOS_shortage_Vaccine_min,OOS_shortage_Water_P90,OOS_shortage_Water_P95,OOS_shortage_Water_max,OOS_shortage_Water_mean,OOS_shortage_Water_median,OOS_shortage_Water_min,OOS_shortage_loss_P90,OOS_shortage_loss_P95,OOS_shortage_loss_max,OOS_shortage_loss_mean,OOS_shortage_loss_median,OOS_shortage_loss_min,OOS_total_cost_P90,OOS_total_cost_P95,OOS_total_cost_max,OOS_total_cost_mean,OOS_total_cost_median,OOS_total_cost_min,in_sample_robust_T_COST,policy_label,row_sha256,sample_index,scenario_evaluations,simulation_id,status,OOS_mean_minus_in_sample_robust_T_COST,OOS_max_minus_in_sample_robust_T_COST,pre_disaster_expenditure
0.0,0.0,0.0,0.0,0.0,0.0,85108064.93692634,168747352.5392964,2254768723.6670675,114578538.59203291,23350245.825494826,913588.4804794688,0.3088583550890044,0.5027398378061926,0.7357717841620828,0.1704364330146962,0.14062220877166948,0.004811351263777963,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,0.0,0.0,10953638.459945219,390943.2058366764,0.0,0.0,16455512.930576703,35589683.03547876,72455410.54915592,5001922.171846091,0.0,0.0,95997349.87095349,207674184.2070697,1436361600.133357,75651967.7471072,10900864.654823832,342486.0495621433,115135255.72639197,226812090.06250817,1455499505.9887955,94789873.60254566,30038770.51026231,19480391.905000623,1221280555.623522,P1,8236bbe488c80478ef91f3725aa23fd5b244dacab5dbe6958576331badebf6b8,248,20000,LA-0248,PASS,-1126490682.0209763,234218950.36527348,19137905.85543848
0.0,0.0,0.0,0.0,0.0,0.0,84295259.23544694,169383068.52055153,2255098407.513729,114455294.07959475,23350245.825494826,913588.4804794688,0.3088583550890044,0.570903473514379,0.7357717841620828,0.17394704327365362,0.1428131941091818,0.004665838503012165,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,246921.82526947677,346195.11273559165,11283322.306606853,456115.58731273044,0.0,0.0,16747794.938842544,33943408.58205556,72747692.55742176,4813505.277931884,0.0,0.0,91732182.01702468,227746459.59858873,1454713121.7739303,78791572.70083733,10007605.33254474,342486.0495621433,110870087.87246317,246884365.4540272,1473851027.6293688,97929478.5562758,29145511.187983222,19480391.905000623,1239632077.264095,P1,c817cbeed76eaa1433cd5057989274081ba16f077a8f541623521b830470539f,349,20000,LA-0349,PASS,-1141702598.7078192,234218950.3652737,19137905.85543848
0.0,0.0,0.0,0.0,0.0,0.0,84709396.84214652,168654231.2962941,2254812662.291887,114495223.88393366,23350245.825494826,913588.4804794688,0.3088583550890044,0.5272139339731935,0.7357717841620828,0.17213182999797447,0.1421180554592837,0.00479195804610455,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,0.0,22804.98070791394,10997577.084764812,393153.43273368594,0.0,0.0,16342347.846612766,34998589.575281814,72342245.46519199,4916397.23684984,0.0,0.0,94465944.93427524,208848235.2823488,1438807399.7453148,75553419.81551404,10508328.448637499,342486.0495621433,113603850.78971373,227986141.13778728,1457945305.6007533,94691325.67095251,29646234.30407598,19480391.905000623,1223726355.2354798,P1,22c4256708218094c78847315cae3fa6a947af75730c1ee12b718c111aabe053,460,20000,LA-0460,PASS,-1129035029.5645273,234218950.36527348,19137905.85543848
5481386.2930892445,7100050.625525531,11865827.033711953,2491490.1328216894,1534911.1527959504,62886.159721359625,45821367.652423784,77115368.03141873,2093287005.7813368,83922759.73181485,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7344557662128259,0.8243886276124054,0.0760846357170678,0.0,0.0,2069843606.6531103,72990162.23610488,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1426567022.3647485,87179036.48204024,19417505.214077458,3574062.1164148846,134076812.45747146,241914998.50035787,1445704928.220187,96942605.43658847,28092229.1508451,11549471.44219701,1211485977.8549132,P4,ad324a69b97052c4324b2d4a7cdb8c062f4c32b36274aad0565f48099bb0b2a9,561,20000,LA-0561,PASS,-1114543372.4183247,234218950.3652737,7272078.821726525
4192951.854321726,5431138.920752344,18850937.383998536,2327119.7378126383,1174120.6001935932,48104.37103243109,45821367.652423784,77115368.03141873,1907656468.0187275,75922083.55424638,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7387347399934712,0.8243886276124054,0.15801649954907082,0.0,0.0,1884213068.890501,64989486.058536425,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1356977846.3683014,84179742.99659339,19417505.214077458,3574062.1164148846,126717188.32677822,233229238.23115608,1376115752.2237399,86793831.20584595,20749424.443626642,4399038.8185279695,1141896801.8584664,P4,1a381997b49b95f42e804b5701d7386825c4fcf73b9b04aaf87174e1f2094e32,563,20000,LA-0563,PASS,-1055102970.6526204,234218950.36527348,286968.47143994115
5778713.9383638175,6565343.877775449,10509986.414259618,2637247.3575597955,1480547.5287125995,56179.53190243429,96111092.22263493,180161327.11295655,2264799373.9258785,119899892.71995395,28146246.535857566,3234987.2955169696,0.010274443879075758,0.010709764838977088,0.012045313674892144,0.005383926859079179,0.0046226226421925976,0.0003841170325097343,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,0.0,0.0,10584288.718756482,374997.025364653,0.0,0.0,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,127346656.8061251,237245509.5325084,1442746436.1398273,88592217.19629727,21371852.818319507,3126361.6234134794,137410140.52653742,252197329.51338676,1461884341.9952657,99857383.99503592,31806989.54504168,12286207.61989741,1227665391.629992,P4,201555aab7d1adcf010060fdc2f3079fccb16526af730b879c82ade894a86228,925,20000,LA-0925,PASS,-1127808007.6349561,234218950.3652737,8627919.44117886
5023046.791040735,6506362.552067653,13420588.542309362,2392931.715059749,1406565.8080520192,57627.77988982497,45821367.652423784,77115368.03141873,2052909506.2311819,82182489.50120316,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7353865088804148,0.8243886276124054,0.09390607735535417,0.0,0.0,2029466107.1029553,71249892.00549321,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1411430305.3333864,86526643.97798854,19417505.214077458,3574062.1164148846,132388969.85781805,239738581.0821421,1430568211.188825,94636893.00617741,26406361.728379834,9935899.235763762,1196349260.8235512,P4,3efc9d71620f826457e94ab4b5ac710f67edd4dbbee9bcb613a65245b2dd1fd1,803,20000,LA-0803,PASS,-1101712367.8173738,234218950.3652737,5717317.313129113
0.0,0.0,0.0,0.0,0.0,0.0,85490748.21493024,170004377.8395754,2255001677.238754,114738138.99971338,23350245.825494826,913588.4804794688,0.3088583550890044,0.4871575757351888,0.7357717841620828,0.1684115687281257,0.13759735903842646,0.0047085324035590626,79631693.15176815,103147091.36385679,2242226257.1026506,109185673.21435013,22298660.849496126,913588.4804794688,112514.65493407543,260958.11183764233,11186592.031631688,420141.8149600421,0.0,0.0,17454341.25876436,35966022.702627085,73454238.87734358,5132323.970403204,0.0,0.0,96972370.68060139,224832347.38625875,1449328727.7477126,77615124.10505198,11460194.41532347,342486.0495621433,116110276.53603981,243970253.2416972,1468466633.603151,96753029.96049042,30598100.2707619,19480391.905000575,1234247683.2378776,P1,b42fc25eb056993a24d55289735be0f31b0f8a97513064ef98f211d23b701747,8,20000,LA-0008,PASS,-1137494653.2773871,234218950.36527348,19137905.85543843
4229738.494743963,5478788.7296465235,8069718.724286166,1875737.8652288902,1184421.684926332,48526.412177044745,45821367.652423784,77115368.03141873,2113744101.950876,84804460.57672198,4150488.1665327717,335811.7190791916,0.9676376914292077,0.970630002195942,0.9747180260200735,0.7339842092201421,0.8243886276124054,0.06705547468590001,0.0,0.0,2090300702.8226495,73871863.08101203,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,27869487.504236855,47689925.020646125,83869385.12281607,10339222.48023917,3972036.6347562666,284862.44308632676,125140765.90628672,227520219.35362098,1434235978.5767853,87509568.49477904,19417505.214077458,3574062.1164148846,137509146.5743498,244056732.88386336,1453373884.4322238,100453493.49116023,31541516.12993396,15184977.664880587,1219154934.06695,P4,5d5240db49e931f78b01f778904801216ac7dc4421abe5f53fe52e37a825b06e,461,20000,LA-0461,PASS,-1118701440.57579,234218950.3652737,11068187.13115231
11075198.762010612,11075198.762010612,11075198.762010613,6216266.727231763,5665609.149694182,984954.5931327741,62135741.79872495,147233570.64460015,2233370215.480063,97374467.1618752,3747504.2615435943,4651.961533600129,0.9957864591706249,0.9962936365696777,0.9986702589820853,0.7334899133032887,0.8507265231554038,0.014256023892091685,55050723.11361406,79897390.59578066,2220326816.351836,91498443.91489184,0.0,0.0,478507.9911600787,543645.0988468472,11454571.023755131,593375.015470782,122597.14381741418,4651.961533600129,17664865.563242175,37610064.584904775,73664763.18182139,5282648.231512593,0.0,0.0,98777892.50083071,231600432.89899832,1456035848.0166068,81016848.55418308,12026806.180920789,258946.78680631757,117915798.35626918,250738338.7544368,1475173753.8720453,95295822.37484272,26304902.670523293,10314868.449357267,1240954803.5067713,P4,cde55cc77081ef48da510c9ecfa036190b9ed88ba2892aff1a95ed5dc397375e,873,20000,LA-0873,PASS,-1145658981.1319287,234218950.36527395,8062707.093427868
