Pr_any_shortage_gt_policy_tolerance,T_COST_P05,T_COST_P90,T_COST_P95,T_COST_max,T_COST_mean,T_COST_median,T_COST_min,batch_results_sha256,emergency_expenditure_P05,emergency_expenditure_P90,emergency_expenditure_P95,emergency_expenditure_max,emergency_expenditure_mean,emergency_expenditure_median,emergency_expenditure_min,in_sample_robust_T_COST,policy_label,raw_total_shortage_cross_unit_descriptive_P05,raw_total_shortage_cross_unit_descriptive_P90,raw_total_shortage_cross_unit_descriptive_P95,raw_total_shortage_cross_unit_descriptive_max,raw_total_shortage_cross_unit_descriptive_mean,raw_total_shortage_cross_unit_descriptive_median,raw_total_shortage_cross_unit_descriptive_min,row_sha256,runtime_seconds,sample_index,scenario_count,seed,service_level_cross_unit_descriptive_P05,service_level_cross_unit_descriptive_P90,service_level_cross_unit_descriptive_P95,service_level_cross_unit_descriptive_max,service_level_cross_unit_descriptive_mean,service_level_cross_unit_descriptive_median,service_level_cross_unit_descriptive_min,shortage_Crackers_P95,shortage_Crackers_max,shortage_Crackers_mean,shortage_Crackers_median,shortage_Vaccine_P95,shortage_Vaccine_max,shortage_Vaccine_mean,shortage_Vaccine_median,shortage_Water_P95,shortage_Water_max,shortage_Water_mean,shortage_Water_median,shortage_loss_P05,shortage_loss_P90,shortage_loss_P95,shortage_loss_max,shortage_loss_mean,shortage_loss_median,shortage_loss_min,simulation_id,solver_status,status,production_termination,scaled_retry_triggered,pre_disaster_expenditure
1.0,8463595.951481177,105827208.71066993,233558847.30164433,1446610158.2318504,85215265.70204942,20814914.251129173,7307187.215564625,a59af9d855f7d5dba3b8e97063bc9b3da976a2aef310935ff8ad8ae9a9a4736a,1197223.810434575,14058977.276987273,14058977.276987273,14058977.276987273,7018773.589988386,6386806.550027017,934340.4434952433,1228589997.4005196,P4,40298.42569049232,34733936.48798798,111698057.78275277,2186575562.2811117,81117182.60271503,199657.24468811473,4722.171328954669,7e66e447d56dcddf1034c82082de09db735c692f32c500640520d3e1d6709695,0.3550937999971211,802,2000,20260904,0.3734273821041181,0.9958516886269261,0.996376239152473,0.9986591591112144,0.8741247059627281,0.990410213383945,0.02899063833977855,46370304.87199497,2174258253.073669,75423491.0665197,0.0,538242.2987532084,11454469.186062234,566982.7553382523,124651.73813599834,34785190.38087347,73687163.50242192,5126708.780857052,0.0,2243171.5676355646,89758319.10842009,214420941.44620582,1427472252.376412,73117563.53360984,11113720.868319217,262854.94485493266,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8653212.743212735,122987320.21740091,1036169248.4293971,1431684812.1298027,99444138.76597364,20924182.05176244,7327173.015996397,a851683112f6db4cd47284ab0c61825204ba08a36fcf1b6e5652c5a8c20a4f48,1249280.831505096,14058977.276987273,14058977.276987273,14058977.276987273,7173071.442293047,6366054.071708934,938580.9940825161,1228589997.4005196,P4,42339.69832365719,38736787.26243338,1522871650.6229558,2172971365.856604,102277788.35453217,196354.9248153797,4701.253776227616,09f0bacbf5708ff6f6ca30e20521784ab7a944df51e7fba1dd020023a0b49eb4,0.2971988000208512,802,2000,20260905,0.04043288299785337,0.9958650363058429,0.9962309424585513,0.9986702589820853,0.8622949573056733,0.990566640791124,0.029166844573368378,1514680131.1595314,2160836540.539758,96407590.4607468,0.0,7978101.220687432,11350510.192601183,675338.0713822705,127023.75884799974,37021650.37497931,72781566.03937557,5194859.822403091,0.0,2356796.967488054,106485092.66700397,1017968509.1518523,1412546906.2743642,87192138.7452294,10929900.534923296,261690.59019993403,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8609674.382571148,112608221.93192251,236775112.06622458,1452828437.0779154,87208704.58389579,20715955.46146458,7231350.675745233,5bab791e7f3be1c12184b30b72b5067777434e5904ec327d83735187ffbd1a8a,1237463.3043066664,14058977.276987273,14058977.276987273,14058977.276987273,7059977.914714016,6304257.75053547,924969.8582891121,1228589997.4005196,P4,42848.06056324472,35864698.40491551,112956017.89691767,2200386844.5180163,83212364.99868383,197655.15408272675,4701.856879231542,6de4a2ac54d88995aaa1ffffb7807e1d78483decb2917c79862e479f28044c8a,0.29814889997942373,802,2000,20260906,0.37081054351662684,0.9958946719017158,0.9962654299451835,0.9986584997304437,0.8687649858450506,0.9903827009822008,0.02881391447924686,45693953.59046225,2187343445.3897896,77165535.48369357,0.0,540621.2908613281,11368567.150270928,574223.0775827863,124912.58576050587,37610253.96900921,72575834.7286482,5472606.437407481,0.0,2385094.443192454,96217730.17314664,217637206.21078607,1433690531.222477,75069798.09073056,11002276.4968609,261724.16132554456,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8650675.972542146,118645628.90060838,244539195.5433822,1429289636.4300127,95190477.93723279,22256843.440588765,7210210.195373004,88874b3f9b01ea96444b1224737425ffcd8ebc89306352dac6fc5aa19d74c955,1233251.2293536374,14058977.276987273,14058977.276987273,14058977.276987273,7138545.415951703,6669800.815295337,947598.8200306504,1228589997.4005196,P4,41785.844550193266,37694084.601142414,118446705.38152504,2125155304.682584,95094524.28893384,201985.49997194787,4733.972122693422,6d1a1629fe5e6608eef24239239a9d3de124cc832b62c964caf2b6101b03875c,0.33591809996869415,802,2000,20260907,0.35980707280394747,0.9958504420435798,0.9962526813853867,0.998636492083801,0.8626581583209911,0.9904031526745589,0.02980354077306202,51373600.3956749,2112538376.4266303,89037859.98989764,0.0,556300.1506369758,11308129.239959078,638794.8177964415,124917.4880172147,37472303.30875792,73652902.33673957,5417869.481239747,0.0,2325967.251041958,102285710.33057512,225401289.6879437,1410151730.5745742,82973003.94282988,11243320.870438505,263511.8242376066,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8591245.22477615,114898911.76261695,238438865.00276062,1454036317.8355458,91107921.64403895,21615310.25022082,7236121.718973171,8c0221b7e823d8b3f611d8bae3ee45b7201e91546b362431d45aac80cea8d039,1248581.3203956836,14058977.276987273,14058977.276987273,14058977.276987273,7122971.4361404255,6495307.431750126,929328.2885927444,1228589997.4005196,P4,40320.4982430052,36683124.71687596,113809898.74241911,2146587397.761611,88743444.52983133,199007.68896564105,4810.574111137006,e20bf50dc03a21e2abdfe5d894fe5d37a82a939649ba8055b6ec4f21799f93d5,0.3311380000086501,802,2000,20260908,0.3690549804508105,0.9959460954490542,0.9963324522704575,0.9986500710339655,0.8662354246693751,0.9904592901497704,0.02951475698403272,45766558.63723271,2134484399.136665,82727237.50479616,0.0,551855.0808731132,11454571.023755131,608714.8631171329,124352.4677508971,36551949.35314707,72771949.4145554,5407492.161918029,0.0,2244400.2141986415,98632939.59505029,219300959.14732212,1434898411.9801073,78906021.62944731,11077563.998583443,267775.7973223303,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8477597.30598912,117420946.49157324,241684491.8198732,1462808947.7657933,88682307.64361109,20567404.218622535,7232921.813051794,ff966d5c97b44dd827b4298f582e8e568f721825dfab73a7a28197d8441f40e6,1288833.1310784705,14058977.276987273,14058977.276987273,14058977.276987273,7032450.308482438,6349810.561107456,950109.4441306859,1228589997.4005196,P4,39169.63801331432,37678181.72869698,114730864.13365442,2174679965.308913,85538707.57997318,193820.75633349756,4651.961533600129,3bd798df1f66ebfb170d6facbfaefed2a1d839efdaf5f9231d9ce5ac0f657abe,0.2941755999927409,802,2000,20260909,0.3671800743513038,0.9959277164216908,0.9963904308609032,0.9986531032034837,0.867307196468903,0.990664443692105,0.029144596679262835,47039697.538423195,2161393356.8502707,79462837.68494529,0.0,546526.4430017103,11299632.82967544,584862.7262216497,121673.7746334876,38221524.49425863,71807559.81687869,5491007.168806254,0.0,2180338.7303731283,101157868.60634111,222546585.9644347,1443671041.9103549,76570928.75667743,10788838.580547808,258946.78680631757,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8613673.536045555,118668429.02240597,247352132.5822649,1424793855.4278588,94243626.3290727,22260161.648182802,7213540.457732065,46efbc920344f7b04543b91eccb9234abdef427f40c6bce1c654e194a640b81a,1241788.244923806,14058977.276987273,14058977.276987273,14058977.276987273,7126408.443135327,6350137.392821498,968883.3932845322,1228589997.4005196,P4,41182.85766110308,37640813.456129424,121015911.6744166,2188456347.441889,93789202.42472959,199204.8335028346,4858.33124063814,ebb7ea9f549fd3c0545afa00d65658b6432845526251286b3c258fb94017a0eb,0.29533019999507815,802,2000,20260910,0.3548779740180062,0.9958808452248978,0.9962666823060382,0.9986565109023902,0.8647910924259504,0.990509376800663,0.028966445139705033,51966522.089652345,2176727774.165241,87715812.68725662,0.0,555814.0440637419,11370702.077329053,629704.772190907,124605.15036685101,37659492.89918807,70337952.34338059,5443684.965282055,0.0,2292402.588847642,102300343.6017811,228214226.7268264,1405655949.5724204,82038289.30748616,11088537.852101784,270434.1501788814,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8560864.68745688,111438895.7017939,238211232.1820176,1429769585.4131606,89206422.36355925,20572844.15346344,7228557.6014191415,b26927aa214d9f576b82b007c35b39d1e5ad03be17a1d1c4aaa231a9b0e286c5,1247469.8728624575,14058977.276987273,14058977.276987273,14058977.276987273,6952355.034604452,6235190.51919299,936627.5776989686,1228589997.4005196,P4,41042.2884441165,35426633.86314483,114773646.98456267,2149815431.304386,86989817.3770429,192380.94999387738,4835.978040688725,b0a83e9d505ae4eed9a7f1907bb581ce7859c6aa360106d83180ba04b1e29f07,0.3319249000051059,802,2000,20260911,0.3670934702525788,0.9958639250160606,0.9963399756740469,0.9986599827736912,0.8676371902557133,0.990519692780047,0.02947174551677556,48142514.7479295,2137896844.7367566,81149689.96637468,0.0,543912.4420111208,11158622.648789255,595840.1016021235,119222.29219400995,35826810.231862,72441054.9657068,5244287.309066101,0.0,2284577.943953301,95184741.35720667,219073326.3265791,1410631679.557722,77175138.7505036,10708693.200459192,269189.8816568972,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8623263.351214375,103492892.85505368,215537734.68309957,1434674591.6713192,81138289.63205825,19641472.16761995,7251190.48828609,eec23ae803a4d77dcce8a6107c30d42cecaafe121b5e29c0bc078a991b4a3fad,1219392.217983545,14058977.276987273,14058977.276987273,14058977.276987273,6762756.47730347,5892752.95459925,940177.1725989595,1228589997.4005196,P4,40556.14990895899,33817621.11188327,98007366.25267138,2159116525.0780253,76789904.52732162,177717.02520430594,4751.775754853952,ce27e84d73dc182c5e3dfab4e2f22500cae4aac0bbdfa8c8c17d8f8ce3412e41,0.335121700016316,802,2000,20260912,0.4044909851474823,0.995861168821504,0.996318180465778,0.9986454051703325,0.8777023856126572,0.9910410713792277,0.029348512487440193,38527798.01172201,2146174585.5046523,71273002.65178657,0.0,527308.7708771051,11422644.447305309,532935.4921705419,117899.13326111683,35695954.10021422,70712645.34576954,4983966.383364511,0.0,2257517.528532293,87389093.35683699,196399828.82766107,1415536685.8158808,69296604.57630357,9892440.490972485,264502.8456181904,LA-0802,optimal,optimal,optimal,False,5078928.578451205
1.0,8673775.48881026,100024617.99236718,215571999.5812141,1424749482.8800507,79466051.78612053,20577876.08305285,7247269.958623828,4131c4c4c4b6435db95558f7bc6efe9f67236947161f5cb13d30ccea8064a653,1228322.577440797,14058977.276987273,14058977.276987273,14058977.276987273,6935778.421356958,6330871.947127194,947813.4608780802,1228589997.4005196,P4,42602.60054291884,32246693.71226623,97444625.49264674,2160129274.771152,73541442.98710242,191653.5014309648,4844.007469493103,d618412dfea43616c729e249b83619dcaa33b6ab167a5b67b618264f7d257bc8,0.29453700000885874,802,2000,20260913,0.4058791157041323,0.995881072287767,0.9962433408293494,0.9986691880864301,0.8767784844599702,0.9906512953601032,0.029335156445565613,37316588.112253025,2147524811.746234,68150063.66494013,0.0,525272.7937218522,11133503.761700407,526353.4773057135,120744.12845920627,34157124.542693935,71725248.98335037,4865025.844856557,0.0,2371431.1566210343,83915643.99268861,196434093.7257756,1405611577.0246122,67451344.78631236,10668200.503653225,269636.83178186405,LA-0802,optimal,optimal,optimal,False,5078928.578451205
