heldout_scenario,simulation_id,sample_index,baseline_policy_label,loho_policy_label,policy_stable,delta_Q_Water,delta_F_Water,baseline_R_Water,loho_R_Water,R_stable_Water,delta_Q_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,loho_R_Vaccine,R_stable_Vaccine,delta_Q_Crackers,delta_F_Crackers,baseline_R_Crackers,loho_R_Crackers,R_stable_Crackers,canonical_policy_hash_stable,first_stage_stable,delta_first_stage_cost,row_sha256
h01,LA-0105,105,P4,P4,True,0.0,-16918554.64198924,R0,NONE,False,0.0,550424.4968358465,R0,R0,True,0.0,35194628.07990609,NONE,R0,False,False,False,0.0,862b0a0919fd1e8d2a484acd7671d4080134b5cd615e36d838a612d89e367a3d
h01,LA-0268,268,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,396d9d87ff3dbf6dcf5de1781cd4ebbb77559dec187bab4dc278507ceb52097b
h01,LA-0734,734,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,13b626b978d15a471fbac134487b4252c1b05cf95a397b2b089fe17be843d87c
h01,LA-0302,302,P4,P4,True,0.0,604887.0470086556,NONE,R2,False,0.0,828459.1890854483,NONE,R2,False,0.0,-127194018.51963937,R2,NONE,False,False,False,1.862645149230957e-09,87199f6fadcf3698007f5c24836850dfb37ef794d8f23efd9fa19567990735b8
h01,LA-0017,17,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,79feb70bfc364504825fb41b76f847176726741d18ca75dd68b8d81e80d0ed2b
h01,LA-0923,923,P4,P4,True,0.0,-12093041.972346202,R0,R0,True,0.0,383790.51002642047,R0,R0,True,0.0,26588076.69612647,NONE,R0,False,False,False,1.4551915228366852e-11,1aab2e468c020614fe7e3832b07f5d75ab477be574798636db11ccbf51d93101
h01,LA-0374,374,P3a,P3a,True,0.0,0.0,NONE,NONE,True,0.0,-475415.5846246806,R1,NONE,False,0.0,70592011.05033137,NONE,R1,False,False,False,0.0,22be3b5b410e79c6e450ad6979bef41e8967f17ec7b232db613722911c45a604
h01,LA-0930,930,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,3265625feb9dbea1bc5e1ada202b94bb8b8acc7da77f47fd8079d11a70a0d54a
h01,LA-0433,433,P1,P1,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,b666ee31e3edd8beba6fece8d97a58d154550437ffcec8198fcb7c5ebb3cde9e
h01,LA-0947,947,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,-1519999.518790039,R0,NONE,False,0.0,225696898.2445816,NONE,R0,False,False,False,3.725290298461914e-09,c5fd09f88ac9d02fc20b60b791cf4799168d848d4b95254829904fe99e52746f
h01,LA-0278,278,P4,P4,True,0.0,13025753.936551461,NONE,R1,False,0.0,756089.3699686057,NONE,R1,False,0.0,-202288951.101019,R1,NONE,False,False,False,0.0,38235fc4c893495c0a1551bc4478b0e7b885a923793911242c733d8890da0659
h01,LA-0164,164,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R1,R1,True,False,True,0.0,3796d1066c6f0f9cd801478d36bea84455d3332328b46b5e067cef0b2afeb7b5
h01,LA-0453,453,P1,P1,True,0.0,0.0,NONE,NONE,True,-1.1641532182693481e-10,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,False,True,0.0,853b24255512b89d17ee0e180e5af7278ee517447dc81f2f6d77e62e60d64a18
h01,LA-0258,258,P4,P4,True,0.0,0.0,R0,R0,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,93fe8789f0038f70deb78e0a8963dc559e60abf1d14e2cf06cfbbfb2dd446612
h01,LA-0663,663,P4,P4,True,0.0,-435575.34998157556,R0,NONE,False,0.0,-1351617.289130485,R0,NONE,False,0.0,203704954.64919865,NONE,R0,False,False,False,9.313225746154785e-10,1888f1378d3195f71870eeaa074be2a6434e7861b847ca75df9b54a95369a393
h01,LA-0640,640,P4,P4,True,0.0,0.0,NONE,NONE,True,0.0,0.0,NONE,NONE,True,0.0,0.0,R0,R0,True,False,True,0.0,0f284c6c0d8cf15a04cf0738946101b34530ac4a9c3aab7f427177e3a1ef45c1
