source_row,paper_country_code,country,iso3,population_source_location,year,population_1_july_persons,original_population_thousands,variant,source_dataset,source_reference,source_locator,transformation_rule,provenance_class
71973,BRB,Barbados,BRB,Barbados,2025,282623,282.623,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:71973,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72270,BVI,British Virgin Islands,VGB,British Virgin Islands,2018,34657,34.657,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72270,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72271,BVI,British Virgin Islands,VGB,British Virgin Islands,2019,36394,36.394,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72271,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72272,BVI,British Virgin Islands,VGB,British Virgin Islands,2020,37135,37.135,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72272,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72273,BVI,British Virgin Islands,VGB,British Virgin Islands,2021,37810,37.81,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72273,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72274,BVI,British Virgin Islands,VGB,British Virgin Islands,2022,38319,38.319,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72274,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72275,BVI,British Virgin Islands,VGB,British Virgin Islands,2023,38985,38.985,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72275,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72276,BVI,British Virgin Islands,VGB,British Virgin Islands,2024,39471,39.471,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72276,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72277,BVI,British Virgin Islands,VGB,British Virgin Islands,2025,39732,39.732,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72277,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72422,CYM,Cayman Islands,CYM,Cayman Islands,2018,65940,65.94,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72422,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72423,CYM,Cayman Islands,CYM,Cayman Islands,2019,67327,67.327,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72423,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72424,CYM,Cayman Islands,CYM,Cayman Islands,2020,68684,68.684,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72424,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72425,CYM,Cayman Islands,CYM,Cayman Islands,2021,70108,70.108,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72425,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72426,CYM,Cayman Islands,CYM,Cayman Islands,2022,71592,71.592,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72426,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72427,CYM,Cayman Islands,CYM,Cayman Islands,2023,73038,73.038,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72427,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72428,CYM,Cayman Islands,CYM,Cayman Islands,2024,74458,74.458,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72428,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72429,CYM,Cayman Islands,CYM,Cayman Islands,2025,75844,75.844,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72429,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
72878,DMA,Dominica,DMA,Dominica,2018,68174,68.174,Medium,UN_WPP_2024,UN_WPP_2024_MEDIUM_DEMOGRAPHIC_INDICATORS,row:72878,TPopulation1July (thousands) multiplied by 1000 and rounded to nearest person,DERIVED
