simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0635,635,SUCCESS,,,0.5853089999873191,0.26465740031562746,5,1,0,3,5,5,2,2,55,1223409529.1122715,1223409529.1122713,0.0,certified,PASS,h09,PASS,unavailable,7bfde196c08e59a6e7695d7f5593096ba7cfcd83d2a34befb834fa59c8324a53,8d7fc43f14b4cde107adab31369d2c97ad0e774b54366ddc54ab5c634b15fbc2,True
LA-0636,636,FAILED,oracle_failure,Memory exact evaluation failed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
LA-0637,637,SUCCESS,,,0.5124656000407413,0.23728670028503984,3,1,0,1,3,3,2,2,53,1221107086.1342022,1221107086.134202,0.0,certified,PASS,h09,PASS,unavailable,53d8cc5d0735976246b0f50528036f23b735fe97a0c3b2d858d8e33d84a23cc7,a8a2983847c67f977d4aefce7a378cf2a709f081dc465ba26a5173606173fcea,True
LA-0638,638,SUCCESS,,,0.5220097999554127,0.25357890070881695,3,1,0,1,3,3,2,2,53,1216803638.5266914,1216803638.5266914,0.0,certified,PASS,h09,PASS,unavailable,8a2d94b75b91a7ef98f45145c9d1e71211253e7fdf09be7ae33a138e00b0fb13,85eec3316100f739cf3b7495e0e795760bd981a7198f4be86076d85b2aaeef8f,True
LA-0639,639,SUCCESS,,,0.5285768000176176,0.25884589983616024,3,1,0,1,3,3,2,2,53,1215237330.0359535,1215237330.0359535,0.0,certified,PASS,h09,PASS,unavailable,46cf01da1b7383ce2735ca1265e15355532270cf909bcaa8597bde3f8134d050,4963430d248fd1243feaeeb64f4288303164a43a1b2875a51b1e58e8f2d4ba52,True
LA-0640,640,SUCCESS,,,0.5129154999740422,0.24571070005185902,3,1,0,1,3,3,2,2,53,1193983702.3282263,1193983702.328226,0.0,certified,PASS,h09,PASS,unavailable,075678b920f5d6b1b06ebe3025254537b16868961d3ba2e5c17da868c48ef5c3,0f4a60d7d7e6f3d58c3443d8e0a5bf00ae9a77bc6021a4ec07402567b901ec64,True
LA-0641,641,SUCCESS,,,0.6097729000030085,0.2874708994058892,6,1,0,4,6,6,2,2,56,1224053354.695315,1224053354.695315,0.0,certified,PASS,h09,PASS,unavailable,dadb2472872e206bda4860a1ff4acae2bcc144056c5b39b8df02292ad8608d21,04f5800b4fc461cf888277d50285f916a99f73907449feb9a41b748b9c0ea05c,True
LA-0642,642,SUCCESS,,,0.5888311000308022,0.2761836997233331,6,1,0,4,6,6,2,2,56,1222067022.8593695,1222067022.8593693,0.0,certified,PASS,h09,PASS,unavailable,e609ed8be72f5fead2956411e6862ee384620255355759eb9a850d12ce1486bd,b3b7a745fd021f55fad4853b3bca639e71af11d5e6e9bc842b35051e890dd27a,True
LA-0643,643,SUCCESS,,,0.5135326000163332,0.24526950041763484,3,1,0,1,3,3,2,2,53,1197410608.890528,1197410608.890528,0.0,certified,PASS,h09,PASS,unavailable,cd9b66af9b29c1bc777a00974f3db3b0647586514bd8a723ad02165f1a6f7660,02169fcabc6c45b893a6f0457847a66153d28ce45589287e5303bf493f6a7035,True
LA-0644,644,FAILED,oracle_failure,Full exact certification was incomplete,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,FAILED,FAILED,unavailable,unavailable,unavailable,unavailable,unavailable,False
