simulation_id,sample_index,input_sha256,layer_a_policy,layer_b_policy,policy_transition,layer_a_T_COST,layer_b_T_COST,delta_T_COST,layer_a_budget_usage,layer_b_budget_usage,delta_budget_usage,layer_a_worst_scenario,layer_b_worst_scenario,h09_recourse_loss,largest_non_h09_recourse_loss,largest_non_h09_scenario,h09_loss_advantage,h09_relative_loss_advantage,layer_a_Q_Water,layer_b_Q_Water,delta_Q_Water,layer_a_F_Water,layer_b_F_Water,delta_F_Water,layer_a_R_Water,layer_b_R_Water,reliability_transition_Water,delta_R_level_Water,layer_a_worst_exercise_Water,layer_b_worst_exercise_Water,delta_worst_exercise_Water,layer_a_worst_shortage_Water,layer_b_worst_shortage_Water,delta_worst_shortage_Water,layer_a_Q_Seasonal Influenza Vaccine,layer_b_Q_Seasonal Influenza Vaccine,delta_Q_Seasonal Influenza Vaccine,layer_a_F_Seasonal Influenza Vaccine,layer_b_F_Seasonal Influenza Vaccine,delta_F_Seasonal Influenza Vaccine,layer_a_R_Seasonal Influenza Vaccine,layer_b_R_Seasonal Influenza Vaccine,reliability_transition_Seasonal Influenza Vaccine,delta_R_level_Seasonal Influenza Vaccine,layer_a_worst_exercise_Seasonal Influenza Vaccine,layer_b_worst_exercise_Seasonal Influenza Vaccine,delta_worst_exercise_Seasonal Influenza Vaccine,layer_a_worst_shortage_Seasonal Influenza Vaccine,layer_b_worst_shortage_Seasonal Influenza Vaccine,delta_worst_shortage_Seasonal Influenza Vaccine,layer_a_Q_Crackers,layer_b_Q_Crackers,delta_Q_Crackers,layer_a_F_Crackers,layer_b_F_Crackers,delta_F_Crackers,layer_a_R_Crackers,layer_b_R_Crackers,reliability_transition_Crackers,delta_R_level_Crackers,layer_a_worst_exercise_Crackers,layer_b_worst_exercise_Crackers,delta_worst_exercise_Crackers,layer_a_worst_shortage_Crackers,layer_b_worst_shortage_Crackers,delta_worst_shortage_Crackers
LA-0011,11,d7c35ed9597b3fc9d08acf7141e130141104dec6b562dd2d3db68bb24ebfce1d,P1,P2,P1->P2,1220843353.6435332,1219765134.0438602,-1078219.5996730328,1.0,1.0,0.0,h09,h09,1208364582.6814184,193042287.43641216,h19,1015322295.2450063,0.8402449970785787,9580160.424780957,13908895.91550978,4328735.4907288235,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,3236694.657652829,0.0,-3236694.657652829,551114.9970028057,0.0,-551114.9970028057,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9145262.76018745,9557344.06438629,412081.30419883877,45582792.424537465,0.0,-45582792.424537465,0.0,98865787.7174083,98865787.7174083,NONE,R0,NONE->R0,1,0.0,78423313.62456433,78423313.62456433,1827916702.2246125,1783576686.3754356,-44340015.84917688
LA-0012,12,5c1441ad663de3d58521ae8885de5adade81efac16c906e57da0eb3982b22bde,P4,P4,P4->P4,1165686948.271296,1160699291.0929866,-4987657.178309441,1.0,0.9999999999999998,-2.220446049250313e-16,h09,h09,1160508370.8970003,198112425.33542198,h19,962395945.5615783,0.8292882409953721,0.0,0.0,0.0,430778.78019137547,13035524.507019604,12604745.726828229,R0,R0,R0->R0,0,343683.8549594058,10400000.0,10056316.145040594,10056316.145040594,0.0,-10056316.145040594,0.0,0.0,0.0,2444050.98448302,1992017.2712678763,-452033.71321514365,R0,R0,R0->R0,0,1949912.3510477692,1589270.8889488766,-360641.46209889255,7607431.71333852,7968073.175437413,360641.4620988928,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0013,13,bc772f5c68c2a5c12ac82feed6fbd90db6b85103f3312eab4179164c9d4e88f5,P4,P4,P4->P4,1218333926.7946086,1216222844.6648905,-2111082.1297180653,1.0,1.0,0.0,h09,h09,1214024315.3935063,224175307.98222393,h19,989849007.4112823,0.8153452899256295,0.0,0.0,0.0,13862942.27796842,0.0,-13862942.27796842,R0,NONE,R0->NONE,-1,10400000.0,0.0,-10400000.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,714549.783870821,1434077.2415854274,719527.4577146064,R0,R0,R0->R0,0,536056.3149762736,1075846.888303867,539790.5733275935,9021287.749410016,8481497.176082423,-539790.5733275935,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0014,14,9d4bc8f108e222b9004ae3749404dd15c5af542ba54e3695e483c3ab081694fe,P4,P4,P4->P4,1203262109.9878798,1200327519.7788906,-2934590.2089891434,1.0,0.9999999999999998,-2.220446049250313e-16,h09,h09,1192782592.7503388,213591717.21412364,h19,979190875.5362152,0.8209298840272139,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,472195060.6183728,497995297.7362803,25800237.117907524,R0,R0,R0->R0,0,191675137.44016156,202148063.58447048,10472926.144308925,1670324862.5598385,1659851936.4155295,-10472926.144309044
LA-0015,15,092ddd62a98a4bd89bf76f067ac2de26c73a2fb505374668c940be8fe91083b9,P1,P1,P1->P1,1222278285.1948965,1221380975.6720865,-897309.5228099823,1.0,1.0,0.0,h09,h09,1202243069.816648,188993779.17676973,h19,1013249290.6398783,0.8427990279822591,11013220.205492195,14286615.279506551,3273395.0740143564,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,2382881.3265926437,0.0,-2382881.3265926437,617644.4496809861,685659.346483219,68014.89680223283,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9107727.262154872,9058215.53996565,-49511.72218922153,25800284.0652094,0.0,-25800284.0652094,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1843218577.7366683,1862000000.0,18781422.26333165
LA-0016,16,b2ff17041ea2f1be7864efa886f0891854b8633d52a824c042ee5a29d0f2043b,P4,P4,P4->P4,1192754814.0843751,1189246116.375355,-3508697.709020138,1.0,1.0,0.0,h09,h09,1187764345.933851,222038405.025563,h19,965725940.908288,0.8130619042525724,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,2366186.644519527,2366186.644519527,NONE,R0,NONE->R0,1,0.0,1560481.98979739,1560481.98979739,9557344.06438629,7996862.0745888995,-1560481.98979739,0.0,0.0,0.0,333140425.98142016,0.0,-333140425.98142016,R0,NONE,R0->NONE,-1,219703562.27878985,0.0,-219703562.27878985,1642296437.7212102,1862000000.0,219703562.27878976
LA-0017,17,9d8be22567afcabbf94ce470787e9f63ad71892883ca72fe79ea5ccd3e06ce5e,P4,P4,P4->P4,1183466641.5846212,1179450447.9848735,-4016193.599747658,1.0,1.0,0.0,h09,h09,1174498158.5464997,190151808.78715655,h19,984346349.7593431,0.838099525824307,0.0,0.0,0.0,475588.74436296406,15852570.715621822,15376981.971258858,R0,R0,R0->R0,0,312007.62514187675,10400000.0,10087992.374858122,10087992.374858122,0.0,-10087992.374858122,0.0,0.0,0.0,2487597.1119743534,0.0,-2487597.1119743534,R0,NONE,R0->NONE,-1,1631975.6857503774,0.0,-1631975.6857503774,7925368.378635912,9557344.06438629,1631975.6857503774,0.0,0.0,0.0,0.0,283461579.0291942,283461579.0291942,NONE,R0,NONE->R0,1,0.0,185963555.99275327,185963555.99275327,1862000000.0,1676036444.0072467,-185963555.99275327
LA-0018,18,88740ccdbf47f9612cd99ce867900cdc74d3705aedf2a3bdefb1d376a8ffba59,P4,P4,P4->P4,1226467795.5449755,1224801139.3738234,-1666656.1711521149,1.0,1.0,0.0,h09,h09,1224281878.5815384,210739317.85833985,h19,1013542560.7231987,0.8278669957097594,0.0,0.0,0.0,0.0,23950916.57918333,23950916.57918333,NONE,R0,NONE->R0,1,0.0,10400000.0,10400000.0,10400000.0,0.0,-10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,298864835.672234,149669432.71911973,-149195402.95311427,R0,R0,R0->R0,0,129773500.76417059,64989667.31117563,-64783833.45299496,1732226499.2358294,1797010332.6888244,64783833.45299506
LA-0019,19,9770a34977e95b015e0cefe0df348623152eb9589c95eaf2349fbd268071b51a,P4,P4,P4->P4,1216771034.646203,1214574557.7477093,-2196476.898493767,1.0,1.0,0.0,h09,h09,1212917566.0098267,223696913.0806066,h19,989220652.9292201,0.8155712149371294,0.0,0.0,0.0,26051825.22472256,539573.0695696151,-25512252.155152947,R0,R0,R0->R0,0,10400000.0,215399.8760209231,-10184600.123979077,0.0,10184600.123979077,10184600.123979077,0.0,0.0,0.0,1413145.1045216578,2744040.697742192,1330895.5932205343,R0,R0,R0->R0,0,564133.5668519078,1095432.7771797306,531299.2103278228,8993210.497534381,8461911.287206559,-531299.2103278227,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0020,20,3c0d1d5974307dcb77a0b9e21ab6afb89052e6f263f5080ada8651af93c00448,P4,P4,P4->P4,1189930952.4743433,1186267961.9630404,-3662990.511302948,1.0,1.0,0.0,h09,h09,1185342627.5284448,215343860.35975125,h19,969998767.1686935,0.8183277515221365,0.0,0.0,0.0,14000940.123863747,0.0,-14000940.123863747,R0,NONE,R0->NONE,-1,10399999.999999996,0.0,-10399999.999999996,3.725290298461914e-09,10400000.0,10399999.999999996,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,209154862.177895,322630420.1949839,113475558.01708889,R0,R0,R0->R0,0,155361750.52578038,239652219.0898333,84290468.56405291,1706638249.4742196,1622347780.9101667,-84290468.56405282
LA-0021,21,9c0c8e916a30a3fa9f17a2b27ecaaa74ee626fafee16b17aef6e1fa739cc5936,P4,P4,P4->P4,1234715248.0580432,1233499223.9417398,-1216024.116303444,1.0,1.0,0.0,h09,h09,1229183651.3295689,220456594.87360132,h19,1008727056.4559675,0.8206479604287443,0.0,0.0,0.0,24506318.847034913,0.0,-24506318.847034913,R0,NONE,R0->NONE,-1,10400000.0,0.0,-10400000.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,84590944.70908596,267830195.45473477,183239250.7456488,R0,R0,R0->R0,0,35898734.137336046,113661870.235001,77763136.09766495,1826101265.862664,1748338129.764999,-77763136.09766507
LA-0022,22,6bb63a048030f05350d49e0f95e43d5d1d8afce87fc056fd4148eceb507c86a1,P1,P1,P1->P1,1228734743.3155932,1227954038.5529468,-780704.7626464367,1.0,1.0,0.0,h09,h09,1208816132.6975083,182020618.01345393,h19,1026795514.6840544,0.8494224116555512,0.0,16275314.666641105,16275314.666641105,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,0.0,-10400000.0,1303995.7970285513,596308.5839244614,-707687.21310409,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,8724084.826892495,9176300.170622097,452215.3437296022,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0023,23,6e9f2f6ea49a02cd8d73697d95a8c6eec0807082c1aeab51b67a21fc03ab6414,P4,P4,P4->P4,1224529167.9591959,1222756587.2336216,-1772580.725574255,1.0,1.0,0.0,h09,h09,1217166357.3818793,223398583.78037414,h19,993767773.6015052,0.8164601063564526,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,1344459.5438209274,1417919.3868370492,73459.84301612177,R1,R1,R1->R1,0,908812.1146926548,958468.6443988131,49656.529706158326,8648531.949693635,8598875.419987477,-49656.529706157744,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0024,24,6d7ec27518715e008327d137620c14c125fdf032d00924b93febb86e631fc003,P4,P4,P4->P4,1199923407.196053,1196806393.808849,-3117013.387203932,1.0,1.0,0.0,h09,h09,1192248014.0364501,190976083.42694154,h19,1001271930.6095086,0.8398184931502827,0.0,0.0,0.0,0.0,14160043.55248088,14160043.55248088,NONE,R0,NONE->R0,1,0.0,10400000.0,10400000.0,10400000.0,0.0,-10400000.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,273099851.3949938,190161513.3518667,-82938338.04312709,R0,R0,R0->R0,0,200581194.82339567,139666218.64753506,-60914976.17586061,1661418805.1766043,1722333781.352465,60914976.17586064
LA-0025,25,b39feb6eea784bceddaca092dc4e701505742600b01cf7a26c64501d926a458d,P4,P4,P4->P4,1168146206.429906,1163292920.5081346,-4853285.921771288,1.0,1.0,0.0,h09,h09,1159146986.95902,188502866.43765596,h19,970644120.521364,0.837377943816956,0.0,0.0,0.0,19072084.405537892,19072084.405537892,0.0,R0,R0,R0->R0,0,10399999.999999993,10400000.0,7.450580596923828e-09,7.450580596923828e-09,0.0,-7.450580596923828e-09,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,0.0,0.0,0.0,391478376.6458635,420070156.013444,28591779.367580533,R0,R0,R0->R0,0,213473002.24483013,229064088.10099882,15591085.856168687,1648526997.7551699,1632935911.8990011,-15591085.856168747
LA-0026,26,5bd990e15e3b22f43439e71e7147d7b7a93aff1ba487719ad0800d6c597820ef,P4,P4,P4->P4,1205273597.7788215,1202448913.1285603,-2824684.6502611637,1.0,1.0,0.0,h09,h09,1200550382.9810553,198057675.88883975,h19,1002492707.0922155,0.8350276017595797,0.0,0.0,0.0,0.0,25643271.40964224,25643271.40964224,NONE,R0,NONE->R0,1,0.0,10400000.0,10400000.0,10400000.0,0.0,-10400000.0,0.0,0.0,0.0,0.0,2069317.6877659294,2069317.6877659294,NONE,R0,NONE->R0,1,0.0,839241.7491893603,839241.7491893603,9557344.06438629,8718102.31519693,-839241.7491893601,0.0,0.0,0.0,459383064.31854105,0.0,-459383064.31854105,R0,NONE,R0->NONE,-1,186309452.97862372,0.0,-186309452.97862372,1675690547.0213764,1862000000.0,186309452.97862363
LA-0027,27,cfaddbaf41730539abdb391ae292a542c1e5974c9fd363235b711ece4c2723a3,P4,P4,P4->P4,1230433543.5837827,1228983571.6778517,-1449971.905930996,1.0,1.0,0.0,h09,h09,1221061468.7474658,222970936.8681522,h19,998090531.8793137,0.817395812925888,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,0.0,0.0,0.0,0.0,1613006.3295010433,1613006.3295010433,NONE,R0,NONE->R0,1,0.0,846601.2894794726,846601.2894794726,9557344.06438629,8710742.774906818,-846601.2894794717,0.0,0.0,0.0,227098575.23932528,0.0,-227098575.23932528,R0,NONE,R0->NONE,-1,119194787.47243157,0.0,-119194787.47243157,1742805212.5275683,1862000000.0,119194787.47243166
LA-0028,28,aab4e156e74d50b9f94f91a8b11877f4b196c90dbefd3a9eafa7abaf3557a3f5,P4,P4,P4->P4,1219720674.269935,1217685362.5509434,-2035311.718991518,1.0,1.0,0.0,h09,h09,1213757437.6403515,222982226.20922098,h19,990775211.4311305,0.8162876541109255,0.0,0.0,0.0,0.0,409143.3694082499,409143.3694082499,NONE,R0,NONE->R0,1,0.0,296591.65374554583,296591.65374554583,10400000.0,10103408.346254455,-296591.6537455451,0.0,0.0,0.0,1372857.2419053202,1428825.7213728344,55968.479467514204,R0,R0,R0->R0,0,995196.3790153934,1035768.4256964924,40572.04668109899,8562147.685370896,8521575.638689797,-40572.04668109864,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE->NONE,0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0
LA-0029,29,3ede3239a767640a2b33456598c460234d288524ff970adee2257294e953bd1e,P4,P4,P4->P4,1241156760.811964,1240292694.1181536,-864066.693810463,1.0,1.0,0.0,h09,h09,1232398502.4377813,218855941.71458274,h19,1013542560.7231987,0.8224146318892238,0.0,0.0,0.0,0.0,12171692.678130534,12171692.678130534,NONE,R2,NONE->R2,3,0.0,10400000.0,10400000.0,10400000.0,0.0,-10400000.0,0.0,0.0,0.0,714031.90749956,0.0,-714031.90749956,R2,NONE,R2->NONE,-3,610098.532255744,0.0,-610098.532255744,8947245.532130545,9557344.06438629,610098.5322557446,0.0,0.0,0.0,0.0,27697191.074666195,27697191.074666195,NONE,R2,NONE->R2,3,0.0,23665630.967998654,23665630.967998654,1862000000.0,1838334369.0320013,-23665630.967998743
