simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0287,6976b8c8cd5fa35b0ae0a06c7cc30e9084d607ef478d90c7ef5d00a8c768ad1b,True,True,,1217629367.1202257,1217629367.1202257,0.0,1.217629467120226,0.0,P4,P4,h09,h09,NONE,NONE,R2,NONE,NONE,R2,0887331da3272892afb361838a0754a049f38b63cda63d77afd52bce5f236e34
LA-0288,450f26fba029230cf0c4fa363512fdfa8719494c3757aa0888f30e8609682010,True,True,,1215185423.4984155,1215185423.4984155,0.0,1.2151855234984157,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,220995c94aa6fcba66e03849705098afc4b0bdb25fdd1d6819f49ead1e311049
LA-0289,fa2f1df2a5a81adf302bb6baff73cd4c0130b16333573323ae44149beefce25b,True,True,,1219178900.84743,1219178900.84743,0.0,1.2191790008474301,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,a8c94245887729a27fa73ce8589452c9691ccf7a2f2654217c7fd4073648529b
LA-0290,6e110f55da4ccfd8ca5b014fcb2a6adf3d90454959137e173c5d55811540e697,True,True,,1232993699.5517404,1232993699.5517404,0.0,1.2329937995517406,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,309df33a9840d16a26a98518a8de6d48a2a9b1775155c4e052dac9a591367c3b
LA-0291,9c295c9cdc825318f593bdb2682c866fda5557c46098cfc294a300c2218d33e5,True,True,,1166123064.0176854,1166123064.0176854,0.0,1.1661231640176855,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,185b2cb91a761862c2bdcabf3145045a62e19a2a7bd899b3a872bafe116e5964
LA-0292,03acbdeb07372f2727b8a1dbbee7a33c46f61c79455f3e6bf5ea11b9b50aa908,True,True,,1228264526.808232,1228264526.808232,0.0,1.2282646268082322,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,47bc41bcbd1b42d8830e194b9abef7bd4c70010941f2fd50798041ec06b6e791
LA-0293,4ce04e00eddc3248b8c14149e07b6db89830abccb3fab6d5ccea4d16dce435cf,True,True,,1161068189.3102834,1161068189.3102834,0.0,1.1610682893102835,0.0,P4,P4,h09,h09,R0,R0,NONE,R0,R0,NONE,2570e80ca1f89d1f870a7acd2e656f7f47e87900f6de73f949c3510c541dcff0
LA-0294,9e0ed541557993bdfd0dc39f2a95a6fdc8e1e15decb3d9f5e16a74590958c8d8,True,True,,1220523874.6294954,1220523874.6294954,0.0,1.2205239746294956,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,5cbcd3289701e932a85be8614ab14c3f8c1843197b8be691c4a88a967d0edfea
LA-0295,facd52b2013a8debe94566b9aac3a1d115d73bb17c648ae61829714e20c560fa,True,True,,1184862955.8062832,1184862955.8062832,0.0,1.1848630558062834,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,477a4b1af6ea3cd3bdd24860a762c8b05fbd0e98db48137d928a0d1a37117eb2
LA-0296,4bd78bae92612d7d93f3c93f9c6b103a5e633eef6f2af03ef7f5ddd15553036f,True,True,,1230620759.9157963,1230620759.9157963,0.0,1.2306208599157964,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,0eda48e3a4ff395e20af6c027d0301e4016bd1e16abd8b16ad14ed8e701b2cce
LA-0297,e2c9c3d87cfcee6be8d7a48d347ef73fc50977ae573fbc9b66fabef2f82bac8a,True,True,,1221010742.2976356,1221010742.2976356,0.0,1.2210108422976358,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,84bc56f1439ef4ee140008a14187765bd912d6af1804a6b714256713bf3dc482
LA-0298,5ffcb8416097009ab57f63954644fb5c0775284c4e0ff34e8b6a48fa18cf6edd,True,True,,1214242224.8658078,1214242224.8658078,0.0,1.2142423248658079,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,966dc4afa22a1ca24795da3d6c8d7204253569dc29cfdb74afc58c43dbf21f2c
LA-0299,d07bca572e398a462441d1017fdcda497111b49a35d9d6a51c94c6d2acfa21e2,True,True,,1226317186.8063638,1226317186.8063638,0.0,1.2263172868063639,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,fd02dd9b2153801f54dccb6fba501534507bd4be862e69b4284912e98d93166c
LA-0300,9b6ec726adf9f2c41357489a91739705f48bdbd36e70ab42ebb76d80c50b8f22,True,True,,1221305962.761491,1221305962.761491,0.0,1.2213060627614911,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,cf28971193f5e80a26ebf6a8f96ec48009ef9d565093994840adc12d6852ccf5
LA-0301,3b4c1d840294790627a2d1193efbde7e703fe0fa9296e55504c3ef51f216c985,True,True,,1236712811.3310332,1236712811.3310332,0.0,1.2367129113310333,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,3c1a49c89a57a1fe54fdd2043932984a85dcf355298f3a1e2f06dcca7b58c678
LA-0302,ee30301ae5d9ebcffe4f347cb88e044583d130a04d060a932d6b5e1d5e66f19f,True,True,,1233260208.234294,1233260208.234294,0.0,1.2332603082342941,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,f888224b03494a2cc09f0cfaf7510645e866e7dbd57e1648874be55bd40200a3
LA-0303,c16fbaeb493f56ea949022f93f62f201d42df69eddaf0b529a63d6d3052c8179,True,True,,1226929156.6186452,1226929156.6186452,0.0,1.2269292566186454,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,cea23d0ed29464a00cbb31b1afd873516fa1d972d4d1601c5241b04ce2564d0e
LA-0304,ccd5a3e45a3a17fa1330e500ecc1b33a94cf04f0f52f25a1edc22eb0cdd179a3,True,True,,1196461530.232046,1196461530.232046,0.0,1.196461630232046,0.0,P4,P4,h09,h09,NONE,R1,NONE,NONE,R1,NONE,2323883c2a02537e1b4d179d0c9ab68d2e0c2b810f9bbcac6b6099d3caf9ef40
LA-0305,f663668923934c0c068ef34648887563acfd965684da967f6917923fff66d889,True,True,,1225655583.7713368,1225655583.7713368,0.0,1.2256556837713368,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,93b1024b922a18dd2bbb767463b30ddaa87de64dbbc23d90716a3b913c96bff3
