case_id,simulation_id,sample_index,input_sha256,policy_transition,baseline_T_COST,case_T_COST,delta_T_COST,baseline_worst_total_shortage,case_worst_total_shortage,delta_worst_total_shortage,baseline_worst_shortage_penalty,case_worst_shortage_penalty,delta_worst_shortage_penalty,baseline_normalized_shortage_value,case_normalized_shortage_value,delta_normalized_shortage_value,baseline_budget_usage,case_budget_usage,delta_budget_usage,baseline_Q_Water,case_Q_Water,delta_Q_Water,baseline_F_Water,case_F_Water,delta_F_Water,baseline_R_Water,case_R_Water,baseline_worst_shortage_Water,case_worst_shortage_Water,delta_worst_shortage_Water,baseline_weighted_shortage_loss_Water,case_weighted_shortage_loss_Water,delta_weighted_shortage_loss_Water,baseline_C_Q_Water,case_C_Q_Water,delta_C_Q_Water,baseline_C_F_Water,case_C_F_Water,delta_C_F_Water,baseline_C_R_Water,case_C_R_Water,delta_C_R_Water,baseline_Q_Vaccine,case_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,case_F_Vaccine,delta_F_Vaccine,baseline_R_Vaccine,case_R_Vaccine,baseline_worst_shortage_Vaccine,case_worst_shortage_Vaccine,delta_worst_shortage_Vaccine,baseline_weighted_shortage_loss_Vaccine,case_weighted_shortage_loss_Vaccine,delta_weighted_shortage_loss_Vaccine,baseline_C_Q_Vaccine,case_C_Q_Vaccine,delta_C_Q_Vaccine,baseline_C_F_Vaccine,case_C_F_Vaccine,delta_C_F_Vaccine,baseline_C_R_Vaccine,case_C_R_Vaccine,delta_C_R_Vaccine,baseline_Q_Crackers,case_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,case_F_Crackers,delta_F_Crackers,baseline_R_Crackers,case_R_Crackers,baseline_worst_shortage_Crackers,case_worst_shortage_Crackers,delta_worst_shortage_Crackers,baseline_weighted_shortage_loss_Crackers,case_weighted_shortage_loss_Crackers,delta_weighted_shortage_loss_Crackers,baseline_C_Q_Crackers,case_C_Q_Crackers,delta_C_Q_Crackers,baseline_C_F_Crackers,case_C_F_Crackers,delta_C_F_Crackers,baseline_C_R_Crackers,case_C_R_Crackers,delta_C_R_Crackers,row_sha256
E2D_LAMBDA_VACCINE,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4->P4,1219546842.7838023,1457265871.2479842,237719028.4641819,1731077214.2318141,1880941212.5777588,149863998.34594464,1200408936.9283638,1438127965.3925457,237719028.4641819,300102234.23209095,359531991.3481364,59429757.116045475,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2246209.854615259,2246209.854615259,NONE,R0,9557344.06438629,8541212.577758761,-1016131.4866275284,531999999.99999845,713157085.3925456,181157085.39254713,0.0,0.0,0.0,0.0,2483165.9390702494,2483165.9390702494,0.0,0.0,0.0,0.0,0.0,0.0,333528129.92772025,0.0,-333528129.92772025,R0,NONE,1711119870.1674278,1862000000.0,150880129.83257222,641464616.9283653,698026560.0,56561943.07163465,0.0,0.0,0.0,2483165.939070249,0.0,-2483165.939070249,0.0,0.0,0.0,f536c798143759a4d3e0d516a96c7700e1638a1d69cd98da0b02850cb528dc54
E2D_LAMBDA_CRACKERS,LA-0004,4,3e085f99b3a348286c0d548d80cd6e1da6cc4b923aae5629e1906dad041615e0,P4->P4,1219546842.7838023,1540279151.247985,320732308.4641826,1731077214.2318141,1731077214.2318141,0.0,1200408936.9283638,1521141245.3925464,320732308.4641826,300102234.23209095,380285311.3481366,80183077.11604565,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333528129.92772025,333528129.9277203,5.960464477539063e-08,R0,R0,1711119870.1674278,1711119870.1674278,0.0,641464616.9283653,962196925.3925478,320732308.4641825,0.0,0.0,0.0,2483165.939070249,2483165.9390702494,4.656612873077393e-10,0.0,0.0,0.0,9b93f469da3e674d7129d6a3781d1458ecdbf010163b9937088c76f6b4124201
E2D_LAMBDA_WATER,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1->P1,1231601707.3162727,1231601707.3162727,0.0,1871241830.293562,1871241830.293562,0.0,1212463801.4608343,1212463801.4608343,0.0,303115950.36520857,303115950.36520857,0.0,1.0,1.0,0.0,17637799.914796602,17637799.914796602,0.0,0.0,0.0,0.0,NONE,NONE,0.0,0.0,0.0,0.0,0.0,0.0,11424003.00481376,11424003.00481376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535093.150015588,535093.150015588,0.0,0.0,0.0,0.0,NONE,NONE,9241830.293561982,9241830.293561982,0.0,514437241.4608342,514437241.4608342,0.0,7713902.850624718,7713902.850624718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,03e6c93c615f2be70b6d9de8817bdc6a481fa10fa4ef3191960371707e8fd1df
E2D_LAMBDA_VACCINE,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1->P1,1231601707.3162727,1476749960.49952,245148253.18324733,1871241830.293562,1881174566.1426187,9932735.84905672,1212463801.4608343,1457612054.6440816,245148253.18324733,303115950.36520857,364403013.6610204,61287063.29581183,1.0,1.0,0.0,17637799.914796602,0.0,-17637799.914796602,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,11424003.00481376,0.0,-11424003.00481376,0.0,0.0,0.0,0.0,0.0,0.0,535093.150015588,1327546.188640294,792453.0386247059,0.0,0.0,0.0,NONE,NONE,9241830.293561982,8774566.142618587,-467264.15094339475,514437241.4608342,732641174.6440816,218203933.1832474,7713902.850624718,19137905.85543848,11424003.00481376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38597921d65f8bb7002ddfa31e57691f5ec8b16c194fda18acbeee7385b08ab4
E2D_LAMBDA_CRACKERS,LA-0005,5,f25e7e4de55bb57ace9ac01e69a42d863af1de15ec9409e930cff173c5fdddfd,P1->P4,1231601707.3162727,1562480287.9490716,330878580.6327989,1871241830.293562,1770558535.7232902,-100683294.57027173,1212463801.4608343,1543342382.0936332,330878580.6327989,303115950.36520857,385835595.5234083,82719645.15819973,1.0,1.0,0.0,17637799.914796602,0.0,-17637799.914796602,0.0,0.0,0.0,NONE,NONE,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,11424003.00481376,0.0,-11424003.00481376,0.0,0.0,0.0,0.0,0.0,0.0,535093.150015588,0.0,-535093.150015588,0.0,0.0,0.0,NONE,NONE,9241830.293561982,9557344.06438629,315513.7708243076,514437241.4608342,531999999.99999845,17562758.539164245,7713902.850624718,0.0,-7713902.850624718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123387053.62523267,123387053.62523267,NONE,R2,1862000000.0,1750601191.6589038,-111398808.34109616,698026560.0,984398062.0936347,286371502.0936347,0.0,0.0,0.0,0.0,5090089.392281597,5090089.392281597,0.0,2116145.2403160357,2116145.2403160357,2bdd728d9094fedafdf0972de6b0a83a334fc85e307367a03eb5377b07877d8a
E2D_LAMBDA_WATER,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4->P4,1228010902.1554124,1228010902.1554124,0.0,1753655264.1987638,1871177321.7213993,117522057.52263546,1208872996.299974,1208872996.299974,0.0,302218249.0749935,302218249.0749935,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11186183.104922896,11186183.104922896,NONE,R2,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,2906644.5809494904,2906644.5809494904,0.0,1344993.7911771494,1344993.7911771494,0.0,0.0,0.0,0.0,408749.95313592703,408749.95313592703,NONE,R2,9557344.06438629,9177321.721399358,-380022.342986932,531999999.99999845,510846436.29997385,-21153563.700024605,0.0,0.0,0.0,0.0,2281961.144183502,2281961.144183502,0.0,1055933.5636528754,1055933.5636528754,0.0,0.0,0.0,138001015.2037785,0.0,-138001015.2037785,R2,NONE,1733697920.1343775,1862000000.0,128302079.86562252,649928676.2999754,698026560.0,48097883.700024605,0.0,0.0,0.0,5188605.725132992,0.0,-5188605.725132992,2400927.354830025,0.0,-2400927.354830025,40dddc82f199fb97c3008e7905a4c2cb459c430e7d3421153201cdc3d84c22af
E2D_LAMBDA_VACCINE,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4->P4,1228010902.1554124,1469961960.3053994,241951058.14998698,1753655264.1987638,1881093268.8326383,127438004.63387442,1208872996.299974,1450824054.449961,241951058.14998698,302218249.0749935,362706013.61249024,60487764.537496746,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929394.5921887123,929394.5921887123,NONE,R2,9557344.06438629,8693268.832638219,-864075.2317480706,531999999.99999845,725853174.4499608,193853174.44996238,0.0,0.0,0.0,0.0,5188605.7251329925,5188605.7251329925,0.0,2400927.3548300248,2400927.3548300248,0.0,0.0,0.0,138001015.2037785,0.0,-138001015.2037785,R2,NONE,1733697920.1343775,1862000000.0,128302079.86562252,649928676.2999754,698026560.0,48097883.700024605,0.0,0.0,0.0,5188605.725132992,0.0,-5188605.725132992,2400927.354830025,0.0,-2400927.354830025,b99500a712de9ad65420a4e2e60dcfd89237949849da7efe6f399fa1a0516e1a
E2D_LAMBDA_CRACKERS,LA-0006,6,de42add8841adf6cdadffe7a2c3028d510ddac8675da732fcd463e1eae700250,P4->P4,1228010902.1554124,1552975240.3054,324964338.14998746,1753655264.1987638,1753655264.1987638,0.0,1208872996.299974,1533837334.4499614,324964338.14998746,302218249.0749935,383459333.61249036,81241084.53749686,1.0,0.9999999999999998,-2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138001015.2037785,138001015.20377848,-2.9802322387695312e-08,R2,R2,1733697920.1343775,1733697920.1343775,0.0,649928676.2999754,974893014.449963,324964338.1499876,0.0,0.0,0.0,5188605.725132992,5188605.725132991,-9.313225746154785e-10,2400927.354830025,2400927.3548300243,-9.313225746154785e-10,5c4561d8f6175fc17e3a83a56508d06eb3242bf94d9ea3d9b1166377565a0f8d
E2D_LAMBDA_WATER,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4->P4,1224101753.973965,1224101753.973965,0.0,1743227532.1739895,1804702052.0203404,61474519.84635091,1204963848.1185265,1204963848.1185265,0.0,301240962.0296316,301240962.0296316,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,22152942.903177604,22152942.903177604,NONE,R0,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,0.0,0.0,0.0,0.0,796681.2413791573,796681.2413791573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295507077.09389716,142407833.40644374,-153099243.68745342,R0,R0,1723270188.1096032,1795144707.955954,71874519.84635091,646019528.118528,672963848.118528,26944320.0,0.0,0.0,0.0,1537727.6813731613,741046.4399940039,-796681.2413791574,0.0,0.0,0.0,68bdaa3446c10577d90ba94fb1aced6557d58036013684a760c20b7d7e0b33f8
E2D_LAMBDA_VACCINE,LA-0007,7,d6f6e8df5bb443f5b329818d8f0da90fcdb1c41f5a2185ec6fb08a0a554268b3,P4->P4,1224101753.973965,1464098238.0332284,239996484.05926347,1743227532.1739895,1881023041.2496142,137795509.0756247,1204963848.1185265,1444960332.17779,239996484.05926347,301240962.0296316,361240083.0444475,59999121.01481587,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990149.7028772666,1990149.7028772666,NONE,R0,9557344.06438629,8623041.24961423,-934302.8147720601,531999999.99999845,719989452.1777898,187989452.17779136,0.0,0.0,0.0,0.0,1537727.6813731613,1537727.6813731613,0.0,0.0,0.0,0.0,0.0,0.0,295507077.09389716,0.0,-295507077.09389716,R0,NONE,1723270188.1096032,1862000000.0,138729811.89039683,646019528.118528,698026560.0,52007031.88147199,0.0,0.0,0.0,1537727.6813731613,0.0,-1537727.6813731613,0.0,0.0,0.0,967514e298f59a6eb75f1960f85f8af425eed113f71466e11dd1c7b552331d12
