simulation_id,input_sha256,post_fix_certified,non_regression_pass,difference_reason,old_objective,new_objective,objective_absolute_difference,objective_tolerance,max_first_stage_absolute_difference,old_policy,new_policy,old_worst_scenario,new_worst_scenario,old_R_Water,old_R_Seasonal Influenza Vaccine,old_R_Crackers,new_R_Water,new_R_Seasonal Influenza Vaccine,new_R_Crackers,new_result_sha256
LA-0048,094350cdea0997d0c0c41a1c2a14236c8020c9c96601c54849ba12b930a914a4,True,True,,1237156943.1512485,1237156943.1512485,0.0,1.2371570431512486,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,1ca7397fd1a19682e5a3de21e46c9cd58eaf5b5786d483288919cea3d6802a7d
LA-0049,2095319ddb1639bb7caea136d97f9321b89043cb6f9f0bac4ba4a22b99e05087,True,True,,1233480459.1859336,1233480459.1859336,0.0,1.2334805591859337,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,5fa79517e78960b62ff3c0e9fd249b8581c0d7fb8714faacd7fbb0ca995cf3b0
LA-0051,d77f3bce26b0e3330ae0a4a5c88c1048624bc0c3991e65d6872d2d0ba4466cd8,True,True,,1223871202.8606997,1223871202.8606997,0.0,1.2238713028606998,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,8e2d2e3442cdd21f200521099987f4d30369aa9ce5e5c696dc064b177a08aa68
LA-0053,53e2d715810797ff98b1ca17b5309d98726e650bca30e977506b2277192de74d,True,True,,1221230194.6145272,1221230194.6145272,0.0,1.2212302946145273,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,6c81c6bb7d00d21b2d861cb26c7d982125c64e1ddc4673904bc7f3ed2b25e4c8
LA-0054,21d638d203a99770e141be90350ad5da2f5b6ae17715b0da72949c5332332f9b,True,True,,1231569484.632139,1231569484.632139,0.0,1.231569584632139,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,3c425586c78f13fbd2f628a719084a2c7b5242c01f8e71844ebc59e9f712ae6e
LA-0055,06c0ef20aea9653ad5a779277c36240676b88f03edc359c93c68f8260d243087,True,True,,1218645799.9784997,1218645799.9784997,0.0,1.2186458999784997,0.0,P4,P4,h09,h09,NONE,NONE,R0,NONE,NONE,R0,bef251819d3e821271fa21279dd6b5eaed38c807199d7effb1c30e3e87ed0355
LA-0056,1738ad1dd29775b4c1243f37df4a477fb45779e43f85cfc3b12da636f8161850,True,True,,1218559307.7571466,1218559307.7571466,0.0,1.2185594077571467,0.0,P4,P4,h09,h09,NONE,NONE,R1,NONE,NONE,R1,ead0d30862546d04b90a139f19acd5ecf9bc95dcc5d5f533425a459240340ed7
LA-0057,67c9f9bb758d93ffbccbac1635454c75bb5203e28d2fb661c0e378c9317ac525,True,True,,1233669458.1602662,1233669458.1602662,0.0,1.2336695581602664,0.0,P4,P4,h09,h09,R0,NONE,R0,R0,NONE,R0,b5410cd9d7f5b2157592adc49cf476cf8b83a2682a5041372b76e3ab6c8fd1ab
LA-0058,ab541dc98200b019e81148b07d3780d58c0cc1c0de650caaaee9e46421e24ae8,True,True,,1221125117.1914892,1221125117.1914892,0.0,1.2211252171914893,0.0,P1,P1,h09,h09,NONE,NONE,NONE,NONE,NONE,NONE,adcaa8d82f1f308a27e65d58f3443363bddc6deec9b8171b8cb4c645aa203abb
LA-0059,42d335dd7883a97e5a3f03b495e345323e1b1d46e7b2a98de20ea6667112457d,True,True,,1221663987.143992,1221663987.143992,0.0,1.221664087143992,0.0,P4,P4,h09,h09,NONE,R2,NONE,NONE,R2,NONE,f3d5e7a23fb771541ae6e88686a07ce3de3a7770fced71ba9b9303051f254b60
LA-0060,3fbff512e96462ac99227b6ccf0461dceeb78c53d1cad8a9a62586e56ff6ae78,True,True,,1230065304.8496077,1230065304.8496077,0.0,1.2300654048496078,0.0,P4,P4,h09,h09,NONE,R0,NONE,NONE,R0,NONE,2c7bb6a824808fc9d58a642b9813aa6bf31961a6b659eb924d2bc8af1864fc74
