case_id,simulation_id,sample_index,input_sha256,source_first_stage_sha256,replay_first_stage_sha256,certified_status_invariant,first_stage_identity_invariant,policy_label_invariant,Q_F_R_invariant,objective_invariant,worst_scenario_invariant,all_categorical_scientific_fields_invariant,all_numeric_scientific_fields_invariant,certificate_valid,replay_result_sha256,comparison_sha256
E2A_VACCINE_H0,LA-0024,24,6d7ec27518715e008327d137620c14c125fdf032d00924b93febb86e631fc003,8ea79ecca9ed5f70b68b387d9abf8f93950602a052be90948b06f9fccd184a85,8ea79ecca9ed5f70b68b387d9abf8f93950602a052be90948b06f9fccd184a85,True,True,True,True,True,True,True,True,True,746204d1878b1317cad151c4f87e229e513cc881aa1a1b6d27209bf7b2b90a10,3ac5a1c308b0d2f584600bd77497e1f8aa927625d43f8b699b097af0325615b9
E2A_VACCINE_H0,LA-0025,25,b39feb6eea784bceddaca092dc4e701505742600b01cf7a26c64501d926a458d,87f84810c6d6ba2dda30b6977cc8581f02395580960953b5dd0d3be7a32db387,87f84810c6d6ba2dda30b6977cc8581f02395580960953b5dd0d3be7a32db387,True,True,True,True,True,True,True,True,True,61c34df44e10b7dd2d47fd3fa0e7bc2f88ae885aa25977a7ed41df0230740510,2e89a2be04bbab0cf99d447b072361bc61708943264aae589004098d024ae460
E2A_VACCINE_H0,LA-0026,26,5bd990e15e3b22f43439e71e7147d7b7a93aff1ba487719ad0800d6c597820ef,22c24a4247fedd1b3932b27ed1ce502f700bfb14f5a0df27e7b7ca2f21d07987,22c24a4247fedd1b3932b27ed1ce502f700bfb14f5a0df27e7b7ca2f21d07987,True,True,True,True,True,True,True,True,True,86a557d657616395efbbc48d17112fc757b1ec3ba6a535130a0d0146ea59c35c,31d2f75a8d411d83c3a6804bbeef9d9b9f72683dd4c1af893bef1ea5eb0cb149
E2A_VACCINE_H0,LA-0027,27,cfaddbaf41730539abdb391ae292a542c1e5974c9fd363235b711ece4c2723a3,37736a0edf0a1260db1683541ee9d3bd40f76ca429712526e336f09639d2d653,37736a0edf0a1260db1683541ee9d3bd40f76ca429712526e336f09639d2d653,True,True,True,True,True,True,True,True,True,e30ef258c2cf46a6438937a527a534f40141c3fd7c80b155e46c8bd02d85b53e,21c2734573cf3b684719319ad5908d811a83341061d0e1c5dc9d002435987972
E2A_VACCINE_H0,LA-0028,28,aab4e156e74d50b9f94f91a8b11877f4b196c90dbefd3a9eafa7abaf3557a3f5,95eae147c05fdcffa5a35e813f648421153dcf1da2b673ee42350892d816e253,95eae147c05fdcffa5a35e813f648421153dcf1da2b673ee42350892d816e253,True,True,True,True,True,True,True,True,True,39c595e1e1da46051e6a286478eb48403cc00d637ef99243c0dc5f5f0dddbfc9,c9ca2bbfe54e346f2f24a1fa50f9986366c4a970033bb52c573e1814e2b52a90
E2A_VACCINE_H0,LA-0029,29,3ede3239a767640a2b33456598c460234d288524ff970adee2257294e953bd1e,4ff93e0e17de97c11040f0ef119088e3628b22fcbbe4351533010740c37f6dfe,4ff93e0e17de97c11040f0ef119088e3628b22fcbbe4351533010740c37f6dfe,True,True,True,True,True,True,True,True,True,f98e1f5ab9ae44f6e802c09eec429a0d94d3f9a931df2ce5c22e993416037cbe,6455afc350d2e03c420990ed001ec2f3b64c0d9b1f5bc8df1dac8779d33ff49f
E2A_VACCINE_H0,LA-0030,30,3d7857406de0967b7bf34da5156d7448d34b2cba7b03a628e6a34b750f8e0bd9,cac66c94efbf1a02ba5d5acf5b0728e3083a5379fe537d3f22c9427561d65cc7,cac66c94efbf1a02ba5d5acf5b0728e3083a5379fe537d3f22c9427561d65cc7,True,True,True,True,True,True,True,True,True,fba80eb6691ae9b44633cb4c92035e24cfe62500f93ee35218c2b7fb437cc4d1,6628835eddf97a9a7358fe8cac4c02dedd6022f1c8093b4f6eddeba3f03ddc52
E2A_VACCINE_H0,LA-0031,31,b2c9f84e097e6d8b1c2a028c778645835d20281cce23904d36809ef099ff2353,cc3901a7f2a25ba5915871688c851b37f1a141e96ae16341060226eec4c59bc3,cc3901a7f2a25ba5915871688c851b37f1a141e96ae16341060226eec4c59bc3,True,True,True,True,True,True,True,True,True,aae2cffb0148d5c946362aa78e062b6fc1fd81c7e3cebe9567915588c494b570,30f255ca77427a6bab5e81b38170d5dd3f3b96d982fb035ca48c6521d4a28017
E2A_VACCINE_H0,LA-0032,32,f4f35be64e2a6a66797bef3bd06352c0e954577920dbaa334c40d418f72f6054,da43d08e5f963c01c8b3f3cbff8ba85d74a1a6b0df1726c47657874f1ea19b97,da43d08e5f963c01c8b3f3cbff8ba85d74a1a6b0df1726c47657874f1ea19b97,True,True,True,True,True,True,True,True,True,bd30687a027712910e10ee960ccf941190c4cc976bf45b904540e17835ac0717,2db8165f3acc83a84cd3a09168614f377b98390edcf6c725dd449801107b1ff2
E2A_VACCINE_H0,LA-0033,33,242bd65776afa513ff3a5e721f1af0cc3162b4bb19d3be12cea27cfa5d59ec75,a30ff1700519e8d4290c22eee2dd87c88904e20bee39a977f72434ce05020d05,a30ff1700519e8d4290c22eee2dd87c88904e20bee39a977f72434ce05020d05,True,True,True,True,True,True,True,True,True,e41799d4f79120d237429441e401dca0340e43316e1393a4d223b81740f72035,c17abcc40c8d98bae3abba631bc417202df9d08fb225f632c75664011571f4f2
E2A_VACCINE_H0,LA-0034,34,b6a09f1b58b2fbf1794374e4eee392d33de36403806d9cac077fea29336b5fb6,78752aafc421f872efa81018ed77b394866a41433dc03a81a7dbfd7f128db936,78752aafc421f872efa81018ed77b394866a41433dc03a81a7dbfd7f128db936,True,True,True,True,True,True,True,True,True,389953d083c5fc1b609c679da88ad3e82183c582f74df0e5732ae517cb14ddf8,8697c2ce9b7aa5739aeed034ba2670d94490e3105c34d24fe0f851205aa7d48e
E2A_VACCINE_H0,LA-0035,35,61f86ea9a5d637c6ba13dfbab345847baad40c87477b380ef07cefed17bc2ee7,8536b2d06761460f2e844c0177baaff6aa41ec6f97df0a47144e0c05dabd61b2,8536b2d06761460f2e844c0177baaff6aa41ec6f97df0a47144e0c05dabd61b2,True,True,True,True,True,True,True,True,True,86064f08fc41e350df0185557aafb2138e523f546ecdc08a6dec4552b840726b,30112a5f0b8474fc7645762ee2f78339e51d454c89795d3cd828e1d8ab64ede1
E2A_VACCINE_H0,LA-0036,36,dc589e9611db23a52a37f76fc3061c6adf7b0550514c9a79a8599a2a229640c3,78b9060ad5bb79c0f51e9ede12b7f2b50ee1e4aa72c1b782c3dcd37b348da78f,78b9060ad5bb79c0f51e9ede12b7f2b50ee1e4aa72c1b782c3dcd37b348da78f,True,True,True,True,True,True,True,True,True,34635e37d7f4b8640030bf95f05fd5ee05bd5599a773de1bf04113787c5abfa1,a6bcec5230ca566643e196e758b50a63e557e35c5fb9ed20be207c42162b767d
E2A_VACCINE_H0,LA-0037,37,076714fd9cb671dae097942b2788699ab4a59bd70d0226aa5bff62ff1898008c,b3f4dd8ece4f749a97d3b8857d61a3796722c1c00cb336a928f088ce2ea80714,b3f4dd8ece4f749a97d3b8857d61a3796722c1c00cb336a928f088ce2ea80714,True,True,True,True,True,True,True,True,True,1b960b526db4d4999af020a65943603a7984405324483faf71593356eb4a7f20,0553b735f519f4ae081c2c7cb258d3dade909deb24d25c34596f4c64d6dc8ccc
E2A_VACCINE_H0,LA-0038,38,89f966ec01f9161594e9c468aea3d0124920b3e6697dcb8ee83c1208d6d6accb,179d37f76fe1781fc9a747efa125794b642a28462cd833bcfe792a40e7d2668b,179d37f76fe1781fc9a747efa125794b642a28462cd833bcfe792a40e7d2668b,True,True,True,True,True,True,True,True,True,5cf3aa4502ab0c185f1a465deeff1499e1063477b61e6f9c3c6639f8a5dc9c91,718330715ed6524b0b0873987bcd8e0a1376a7296120d4f2cc1c16f6d3f79c0f
E2A_VACCINE_H0,LA-0039,39,989083481f8c8e1d92827ab6e3b3a1a7daa5639541c84d86e9938502fbe4d1ff,e79eadfb5ccdd43d6093fa78c29c0f41aed91dd652d50a7132c457c1fbe801f5,e79eadfb5ccdd43d6093fa78c29c0f41aed91dd652d50a7132c457c1fbe801f5,True,True,True,True,True,True,True,True,True,75f0e126e577310b3d8564d88d2ed630cfd7201a0c44f66b93e400d6efcc4a37,645775a66c8219d515267ecd200d644d2e45251255cbc80b29656f15544e3afb
E2A_VACCINE_H0,LA-0040,40,d96f96c92f75caf4a165983b3537136207ba37cdf9fac7b8c2d861d19fafc5ef,28496dcd31082775705dce291f770c37171bd8828bc512929eb3075ff0c39ede,28496dcd31082775705dce291f770c37171bd8828bc512929eb3075ff0c39ede,True,True,True,True,True,True,True,True,True,0962fbabe8bd5865a8dd5a9a06e519c0be654cd84f2426749aec388621429bcf,f874556ea0c2c68f4cb19a7f57ddcbe3737fcc77aa181a194d25565ee7a4c3ef
E2A_VACCINE_H0,LA-0041,41,9cfb0aa8009501c8cf4ad5bb5f9eb0103a867118c526a601262f68d58cce0c0a,52fef85d6b6cfb5a3dbb2a6d025790fedf790d74cb7032972c2aa3eedd190980,52fef85d6b6cfb5a3dbb2a6d025790fedf790d74cb7032972c2aa3eedd190980,True,True,True,True,True,True,True,True,True,f30eb1e91e853d9198deca3a70e524a87238f3cb8e505e25690d50388630e4f4,164c7632e89fe7b96535595aeabea851cc151ea262fc75ca27bce225759fb92b
E2A_VACCINE_H0,LA-0042,42,393faeb85edb61ac878ab484b8811ee87e96c23c3f5d345b8e5bbf065782fdb1,c48e53e3c3641eb40ea960b4af1cf8a31c3210b0441342005c911c862fa4b029,c48e53e3c3641eb40ea960b4af1cf8a31c3210b0441342005c911c862fa4b029,True,True,True,True,True,True,True,True,True,a61b2786af5f5c1e5bd74e37fec7d1fa18b77bcfc632fb3f1854fe3212362a18,8986bdf91381c56df3f897669d9f75946393e01dbd79a1bd3416f3de293ee184
