cell,simulation_id,sample_index,input_sha256,baseline_T_COST_REF,treated_T_COST_REF,delta_T_COST_REF,baseline_reference_shortage_loss,treated_reference_shortage_loss,delta_reference_shortage_loss,baseline_first_stage_cost,treated_first_stage_cost,delta_first_stage_cost,baseline_C_Q,treated_C_Q,delta_C_Q,baseline_C_F,treated_C_F,delta_C_F,baseline_C_R,treated_C_R,delta_C_R,baseline_emergency_expenditure,treated_emergency_expenditure,delta_emergency_expenditure,T_COST_REF_direction,baseline_Q_Water,treated_Q_Water,delta_Q_Water,baseline_F_Water,treated_F_Water,delta_F_Water,baseline_shortage_Water,treated_shortage_Water,delta_shortage_Water,baseline_reference_shortage_loss_Water,treated_reference_shortage_loss_Water,delta_reference_shortage_loss_Water,R_transition_Water,baseline_Q_Vaccine,treated_Q_Vaccine,delta_Q_Vaccine,baseline_F_Vaccine,treated_F_Vaccine,delta_F_Vaccine,baseline_shortage_Vaccine,treated_shortage_Vaccine,delta_shortage_Vaccine,baseline_reference_shortage_loss_Vaccine,treated_reference_shortage_loss_Vaccine,delta_reference_shortage_loss_Vaccine,R_transition_Vaccine,baseline_Q_Crackers,treated_Q_Crackers,delta_Q_Crackers,baseline_F_Crackers,treated_F_Crackers,delta_F_Crackers,baseline_shortage_Crackers,treated_shortage_Crackers,delta_shortage_Crackers,baseline_reference_shortage_loss_Crackers,treated_reference_shortage_loss_Crackers,delta_reference_shortage_loss_Crackers,R_transition_Crackers,audit_row_sha256
E2D_LAMBDA_VACCINE,LA-0261,261,bb07020453fe8e94583bdc6e37cedeaac09e9f3c9e1d2be8b1e90ae84e0ca878,1229467807.8359265,1230276635.7780023,808827.9420757294,1210329901.980488,1211138729.9225638,808827.9420757294,13362572.363953257,5699283.371015324,-7663288.992937933,10913269.083930172,0.0,-10913269.083930172,2449303.2800230845,5699283.371015324,3249980.09099224,0.0,0.0,0.0,5775333.491485222,13438622.484423151,7663288.992937929,worsened,16849265.221445378,0.0,-16849265.221445378,0.0,0.0,0.0,1.862645149230957e-09,10400000.0,10399999.999999998,4.825741052627564e-09,26944320.000000004,26944320.0,NONE->NONE,0.0,0.0,0.0,0.0,1391387.8712623592,1391387.8712623592,9557344.06438629,8733972.58412194,-823371.4802643489,531999999.99999845,486167849.92256373,-45832150.07743472,NONE->R0,0.0,0.0,0.0,88787671.52936278,0.0,-88787671.52936278,1809458765.4195733,1862000000.0,52541234.58042669,678329901.9804896,698026560.0,19696658.01951039,R0->NONE,ff33ce49e36abb007c4a6d54a670a0f531e1019ab9ae687f854055718c40dbf2
E2D_LAMBDA_CRACKERS,LA-0261,261,bb07020453fe8e94583bdc6e37cedeaac09e9f3c9e1d2be8b1e90ae84e0ca878,1229467807.8359265,1230276635.7780023,808827.9420757294,1210329901.980488,1211138729.9225638,808827.9420757294,13362572.363953257,5699283.371015325,-7663288.992937932,10913269.083930172,0.0,-10913269.083930172,2449303.2800230845,5699283.371015325,3249980.0909922407,0.0,0.0,0.0,5775333.491485222,13438622.484423153,7663288.992937931,worsened,16849265.221445378,0.0,-16849265.221445378,0.0,0.0,0.0,1.862645149230957e-09,10400000.0,10399999.999999998,4.825741052627564e-09,26944320.000000004,26944320.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,88787671.52936278,206600017.24804732,117812345.71868454,1809458765.4195733,1739741810.5062027,-69716954.91337061,678329901.9804896,652194409.9225652,-26135492.05792439,R0->R0,1aa99445e6ff76cd01e0c2f34204e0136c9c0b33d3b0f92f510fdb9099a91e0f
E2D_LAMBDA_WATER,LA-0262,262,54821f79bc5e458dbcb70e3d353177c5b5a6b2bd8cf3c4ddf416d187cf4dc141,1221919960.582495,1221919960.582495,0.0,1202782054.7270565,1202782054.7270565,0.0,19137905.85543848,19137905.85543848,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unchanged,14431209.622018488,14431209.622018488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE->NONE,679162.8318019633,679162.8318019633,0.0,0.0,0.0,0.0,9067898.367473707,9067898.367473707,0.0,504755494.72705644,504755494.72705644,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,NONE->NONE,73f0458ce8ed6d34e4842029b568a589c364b9ac62895d6bb2c1dbeec6e3a9ee
E2D_LAMBDA_VACCINE,LA-0262,262,54821f79bc5e458dbcb70e3d353177c5b5a6b2bd8cf3c4ddf416d187cf4dc141,1221919960.582495,1222854488.8843818,934528.301886797,1202782054.7270565,1203716583.0289433,934528.301886797,19137905.85543848,19137905.85543848,0.0,19137905.85543848,19137905.85543848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,worsened,14431209.622018488,0.0,-14431209.622018488,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,NONE->NONE,679162.8318019633,1327546.188640294,648383.3568383306,0.0,0.0,0.0,9067898.367473707,8600634.21653031,-467264.1509433966,504755494.72705644,478745703.0289432,-26009791.698113263,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,1862000000.0,1862000000.0,0.0,698026560.0,698026560.0,0.0,NONE->NONE,8423a2faf0939f11efd3c172455e5f3e8f44f5feee0ac8f1de59f238df09c860
E2D_LAMBDA_CRACKERS,LA-0262,262,54821f79bc5e458dbcb70e3d353177c5b5a6b2bd8cf3c4ddf416d187cf4dc141,1221919960.582495,1225097071.6653771,3177111.082882166,1202782054.7270565,1205959165.8099387,3177111.082882166,19137905.85543848,1657556.7221992332,-17480349.133239247,19137905.85543848,0.0,-19137905.85543848,0.0,1657556.7221992332,1657556.7221992332,0.0,0.0,0.0,0.0,17480349.133239243,17480349.133239243,worsened,14431209.622018488,0.0,-14431209.622018488,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,NONE->NONE,679162.8318019633,0.0,-679162.8318019633,0.0,0.0,0.0,9067898.367473707,9557344.06438629,489445.69691258296,504755494.72705644,531999999.99999845,27244505.272942007,NONE->NONE,0.0,0.0,0.0,0.0,180996453.7920883,180996453.7920883,1862000000.0,1725925218.229674,-136074781.7703259,698026560.0,647014845.8099402,-51011714.19005978,NONE->R0,13bedbf7cde87a60f3a7b2699c7b0d8f3312c430044b5c1d595f8dbcf73f2a7a
E2D_LAMBDA_WATER,LA-0263,263,48965136489a77f4d7c57cd0a107a4d1c0934b07cceb9d015aa5db8c3e0b22aa,1204444647.5754466,1204444647.5754464,-2.384185791015625e-07,1185306741.7200081,1185306741.720008,-2.384185791015625e-07,9522966.474599125,9522966.474599125,0.0,0.0,0.0,0.0,9522966.474599125,9522966.474599125,0.0,0.0,0.0,0.0,9614939.380839353,9614939.380839353,0.0,unchanged,0.0,0.0,0.0,0.0,20908775.36014651,20908775.36014651,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,NONE->R0,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,384330516.1946171,239829728.7344496,-144500787.4601675,1670834458.2800086,1742708978.1263595,71874519.84635091,626362421.7200096,653306741.7200096,26944320.0,R0->R0,6cc0e19de093cfde57dd687ed12e1392f5f293b9a3909f564692b3abe7d9562a
E2D_LAMBDA_VACCINE,LA-0263,263,48965136489a77f4d7c57cd0a107a4d1c0934b07cceb9d015aa5db8c3e0b22aa,1204444647.5754466,1204444647.5754466,0.0,1185306741.7200081,1185306741.7200081,0.0,9522966.474599125,9522966.474599123,-1.862645149230957e-09,0.0,0.0,0.0,9522966.474599125,9522966.474599123,-1.862645149230957e-09,0.0,0.0,0.0,9614939.380839353,9614939.380839353,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,2588348.3743719105,2588348.3743719105,9557344.06438629,8269902.660965939,-1287441.4034203505,531999999.99999845,460335861.720008,-71664138.27999043,NONE->R0,0.0,0.0,0.0,384330516.1946171,0.0,-384330516.1946171,1670834458.2800086,1862000000.0,191165541.71999145,626362421.7200096,698026560.0,71664138.27999043,R0->NONE,82786c04a23f72eece762d4181d3e711f3385bf14ffbaa87456ffba229b63fb5
E2D_LAMBDA_CRACKERS,LA-0263,263,48965136489a77f4d7c57cd0a107a4d1c0934b07cceb9d015aa5db8c3e0b22aa,1204444647.5754466,1204444647.5754466,0.0,1185306741.7200081,1185306741.7200081,0.0,9522966.474599125,9522966.474599125,0.0,0.0,0.0,0.0,9522966.474599125,9522966.474599125,0.0,0.0,0.0,0.0,9614939.380839353,9614939.380839353,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,384330516.1946171,384330516.1946171,0.0,1670834458.2800086,1670834458.2800086,0.0,626362421.7200096,626362421.7200096,0.0,R0->R0,f80ce9449d0fc859485a438444c008383e1da544bf6ff1f887879833da8b30fc
E2D_LAMBDA_WATER,LA-0264,264,5aa36faf5fe506bc2db165aef309bafd7c3e93967ba7c755fc8b07dba4087865,1223141602.9290018,1223141602.9290016,-2.384185791015625e-07,1204003697.0735633,1204003697.073563,-2.384185791015625e-07,7829804.6088629225,7829804.608862921,-1.862645149230957e-09,0.0,0.0,0.0,7829804.6088629225,7829804.608862921,-1.862645149230957e-09,0.0,0.0,0.0,11308101.246575557,11308101.246575557,0.0,unchanged,0.0,0.0,0.0,0.0,14749908.140272742,14749908.140272742,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,NONE->R0,0.0,0.0,0.0,0.0,663035.2819385908,663035.2819385908,9557344.06438629,9089845.089709025,-467498.9746772647,531999999.99999845,505977137.07356316,-26022862.92643529,NONE->R0,0.0,0.0,0.0,200387478.50951865,0.0,-200387478.50951865,1720708965.7318735,1862000000.0,141291034.2681265,645059377.0735648,698026560.0,52967182.92643523,R0->NONE,a5c5252cf7a429aa133d22d953812dce8b8063dc2208320df1de57ffdf4e211d
E2D_LAMBDA_VACCINE,LA-0264,264,5aa36faf5fe506bc2db165aef309bafd7c3e93967ba7c755fc8b07dba4087865,1223141602.9290018,1223141602.9290016,-2.384185791015625e-07,1204003697.0735633,1204003697.073563,-2.384185791015625e-07,7829804.6088629225,7829804.608862919,-3.725290298461914e-09,0.0,0.0,0.0,7829804.6088629225,7829804.608862919,-3.725290298461914e-09,0.0,0.0,0.0,11308101.246575557,11308101.246575557,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,1349548.3246559415,1349548.3246559415,9557344.06438629,8605792.200947886,-951551.8634384032,531999999.99999845,479032817.07356316,-52967182.92643529,NONE->R0,0.0,0.0,0.0,200387478.50951865,0.0,-200387478.50951865,1720708965.7318735,1862000000.0,141291034.2681265,645059377.0735648,698026560.0,52967182.92643523,R0->NONE,7da8cb431c5c001e6cdd440f925c5519bd2db59576e016d465cafc7d619a1a2e
E2D_LAMBDA_CRACKERS,LA-0264,264,5aa36faf5fe506bc2db165aef309bafd7c3e93967ba7c755fc8b07dba4087865,1223141602.9290018,1223141602.9290018,0.0,1204003697.0735633,1204003697.0735633,0.0,7829804.6088629225,7829804.6088629225,0.0,0.0,0.0,0.0,7829804.6088629225,7829804.6088629225,0.0,0.0,0.0,0.0,11308101.246575557,11308101.246575557,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,200387478.50951865,200387478.50951865,0.0,1720708965.7318735,1720708965.7318735,0.0,645059377.0735648,645059377.0735648,0.0,R0->R0,6bc85e33c7ca662f29e8823aca8d968460b76af54e1ee551806d62c9f884dac2
E2D_LAMBDA_WATER,LA-0265,265,862d03ad8b7eb2495cdfce8f0a74e4edca9fbfdc9da2e9dfecdfdb8c20c43b16,1233490449.153621,1233490449.153621,0.0,1214352543.2981825,1214352543.2981825,0.0,6173772.713014041,6173772.71301404,-9.313225746154785e-10,0.0,0.0,0.0,6173772.713014041,6173772.71301404,-9.313225746154785e-10,0.0,0.0,0.0,12964133.142424436,12964133.142424438,1.862645149230957e-09,unchanged,0.0,0.0,0.0,0.0,20311615.36376705,20311615.36376705,10400000.0,0.0,-10400000.0,26944320.000000004,0.0,-26944320.000000004,NONE->R0,0.0,0.0,0.0,0.0,549942.1640636212,549942.1640636212,9557344.06438629,9275761.413088933,-281582.65129735693,531999999.99999845,516325983.29818237,-15674016.701816082,NONE->R0,0.0,0.0,0.0,222031886.7501203,0.0,-222031886.7501203,1748314722.8397992,1862000000.0,113685277.16020083,655408223.2981839,698026560.0,42618336.70181608,R0->NONE,f7bd7cfd41da9fdcc380fc854fc78789792c8ceb6b56ca7c02b19b1cc125fa20
E2D_LAMBDA_VACCINE,LA-0265,265,862d03ad8b7eb2495cdfce8f0a74e4edca9fbfdc9da2e9dfecdfdb8c20c43b16,1233490449.153621,1233490449.153621,0.0,1214352543.2981825,1214352543.2981825,0.0,6173772.713014041,6173772.713014041,0.0,0.0,0.0,0.0,6173772.713014041,6173772.713014041,0.0,0.0,0.0,0.0,12964133.142424436,12964133.142424438,1.862645149230957e-09,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,1495316.7883171367,1495316.7883171367,9557344.06438629,8791708.524327794,-765635.5400584955,531999999.99999845,489381663.29818237,-42618336.70181608,NONE->R0,0.0,0.0,0.0,222031886.7501203,0.0,-222031886.7501203,1748314722.8397992,1862000000.0,113685277.16020083,655408223.2981839,698026560.0,42618336.70181608,R0->NONE,d186ef455d864bcad9f49eabe5e7ae20f30243e7879b6c50db99ffd293925389
E2D_LAMBDA_CRACKERS,LA-0265,265,862d03ad8b7eb2495cdfce8f0a74e4edca9fbfdc9da2e9dfecdfdb8c20c43b16,1233490449.153621,1233490449.153621,0.0,1214352543.2981825,1214352543.2981825,0.0,6173772.713014041,6173772.713014042,9.313225746154785e-10,0.0,0.0,0.0,6173772.713014041,6173772.713014042,9.313225746154785e-10,0.0,0.0,0.0,12964133.142424436,12964133.142424436,0.0,unchanged,0.0,0.0,0.0,0.0,0.0,0.0,10400000.0,10400000.0,0.0,26944320.000000004,26944320.000000004,0.0,NONE->NONE,0.0,0.0,0.0,0.0,0.0,0.0,9557344.06438629,9557344.06438629,0.0,531999999.99999845,531999999.99999845,0.0,NONE->NONE,0.0,0.0,0.0,222031886.7501203,222031886.75012034,2.9802322387695312e-08,1748314722.8397992,1748314722.8397992,0.0,655408223.2981839,655408223.2981839,0.0,R0->R0,d4f325a0adcd4a4ddcf12a5f2fc906a23ee729bf812ab3e00ac1a0259a033c54
