simulation_id,sample_index,status,failure_type,failure_message,total_runtime_seconds,solver_runtime_seconds,iterations,memory_opportunities,memory_hits,candidate_hits,candidate_scenarios_planned,active_scenario_count,full_exact_certification_calls,complete_full_exact_certification_calls,scenario_evaluations,final_LB,final_UB,final_gap,convergence_status,certificate_status,worst_scenario,numerical_status,timeout_status,incumbent_first_stage_sha256,full_exact_oracle_sha256,final_convergence_owned_by_full_exact
LA-0027,27,SUCCESS,,,0.5323403999209404,0.2539486997993663,3,1,0,1,3,3,2,2,53,1230433543.5837827,1230433543.5837827,0.0,certified,PASS,h09,PASS,unavailable,9fc4e12e2184ad3cb0bb444b4342cae95adc3bf87717023191bb23cb1b6d8d65,b5d65b590f6f6d4a4120cd48f00a6eec6f59536f6b4f34bd4f38ed2e008fa21c,True
LA-0028,28,SUCCESS,,,0.518722900073044,0.24510379997082055,3,1,0,1,3,3,2,2,53,1219720674.269935,1219720674.269935,0.0,certified,PASS,h09,PASS,unavailable,e4fa6acf8de7f6f5967956a4d05f974782599ce7f1bbf0d624fe6f027523a9b2,b1376dc6626817b71e3bcfca8d3408662a2528c31ad661d2384067b6b8b1f4ac,True
LA-0029,29,SUCCESS,,,0.5288282999536023,0.2531115999445319,3,1,0,1,3,3,2,2,53,1241156760.811964,1241156760.811964,0.0,certified,PASS,h09,PASS,unavailable,4a901efe6ada9dbcbf12a8c36a926c488aa5d59dbc07c171657360db3f5c80cc,7899276d09188043bd4313fa8eccbf87970d9dda448fd4a17f2aaae1cfe2da7c,True
LA-0030,30,SUCCESS,,,0.5275531000224873,0.2476957004982978,3,1,0,1,3,3,2,2,53,1220103753.7440355,1220103753.7440357,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,bb828409c62f36f25e52dcc1374e9a306a817f367dc9b63a823a3dc0ffa48b46,7ffa44a5a729539e7bbec7bdd993baf49c38b49c3c25fd031fa1b55bd303c606,True
LA-0031,31,SUCCESS,,,0.5312235999153927,0.25419639935716987,3,1,0,1,3,3,2,2,53,1206134988.968553,1206134988.968553,0.0,certified,PASS,h09,PASS,unavailable,11d5c691ff6f743d26615992259663cfb8dff5b66083cc0842716b5668553467,51c27f98d29cbed33e60fe7605aaf073de6fe4fa6ee98558231640701f37cda4,True
LA-0032,32,SUCCESS,,,0.51097129995469,0.2382180003914982,3,1,0,1,3,3,2,2,53,1214465608.3216648,1214465608.3216648,0.0,certified,PASS,h09,PASS,unavailable,18c1c70e5bd29c017f31ad85a1dc9cae3c3cfa84fb7e099570ad48a1209f8519,286cd003d0ce975cc839978aa2c73b75e56ca00ec141d97157d3b76170b7e467,True
LA-0033,33,SUCCESS,,,0.5559676999691874,0.2722032997990027,3,1,0,1,3,3,2,2,53,1224473179.2996073,1224473179.2996075,2.384185791015625e-07,certified,PASS,h09,PASS,unavailable,543f607e4c1287f548a7610ee14f6d54b9bb71e2804227a757bbdfb289b7b24f,e7a111bc3371d6ea39ebeaf7105687bc52e0a84da13a8effcd893fd15c8f096b,True
LA-0034,34,SUCCESS,,,0.5495945999864489,0.27061230002436787,3,1,0,1,3,3,2,2,53,1241144141.4574385,1241144141.4574385,0.0,certified,PASS,h09,PASS,unavailable,aa2061e16ef3567640a6304341071a3721153e13abf196d9ee7e62d780bc8845,a82a407ef779b100312d493e0b0f2c740228cf89a8151589aa98f34589ce1073,True
LA-0035,35,SUCCESS,,,0.5762582999886945,0.2831616998882964,3,1,0,1,3,3,2,2,53,1219027880.766495,1219027880.766495,0.0,certified,PASS,h09,PASS,unavailable,634190c3c4c14af05cd2319079c713df0d5fd2398fd2d049994fa4130e0f0301,50e3a12315d04b70b5d5fc7e4cdef899a404f0b7ce6a5dbf98b9de29eb8f3c00,True
LA-0036,36,SUCCESS,,,0.5500143000390381,0.26100779976695776,3,1,0,1,3,3,2,2,53,1222249346.9902213,1222249346.9902213,0.0,certified,PASS,h09,PASS,unavailable,460e37c905525ad659bd3062a035e56496ec742db8c14159e0c7cc3b8765b149,7df90dd3d63537cfd2ae4d7e5d93c9f2a647210e4907a40a6b9883bd55e6a415,True
